Groups,Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
"mpc,server",mpc server,Informational,720,"0.55,0.45,0.45,0.45,0.45,0.36,0.24,0.24,1.00,1.00,0.76,0.36",97,2.87,0.20,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",193
"mcp,servers",what are mcp servers,Informational,880,"0.24,0.44,0.55,0.55,0.44,0.44,0.34,0.30,0.55,0.65,1.00,0.82",46,0.54,0.19,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches, Ads bottom",129
"ai,mcp,servers",what are mcp servers in ai,Informational,110,"0.33,0.33,0.33,0.81,0.09,0.81,0.09,0.09,1.00,1.00,0.43,0.66",50,1.99,0.43,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",190
"mcp,servers",what do mcp servers do,Informational,30,"0.11,0.23,0.64,0.11,0.64,0.11,0.11,0.11,0.11,0.29,0.41,1.00",34,0.63,0.11,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches, Ads bottom",178
"mcp,server",what does an mcp server do,Informational,90,"0.23,0.52,0.52,0.52,0.80,0.52,0.80,0.09,1.00,0.66,0.80,1.00",57,0.53,0.23,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches",60200000
"mcp,server",what is a mcp server,Informational,1600,"0.20,0.44,0.44,0.44,0.44,0.52,0.36,0.36,0.44,0.66,0.80,1.00",50,0.97,0.20,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches, Ads bottom",192
"ai,mcp,server",what is a mcp server for ai,Informational,1900,"1.00,0.00,0.01,0.01",54,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches, Ads bottom",187
"mcp,protocol",what is mcp protocol,Informational,260,"0.82,1.00,0.82,1.00,0.82,0.66,0.35,0.35,0.28,0.43,0.82,0.53",76,1.54,0.18,"AI Overview, Video, People also ask, Related searches, Ads bottom",123
"mcp,servers,work",how do mcp servers work,Informational,140,"0.53,0.53,0.66,0.66,0.53,0.53,0.43,0.28,0.35,0.82,1.00,1.00",45,0.44,0.24,"Sitelinks, AI Overview, Video, Video carousel, Related searches",42500000
"c,m,meaning,p",m c p meaning,Informational,320,"0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00",55,0.58,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",127
"coding,mcp",mcp coding,Informational,70,"0.11,0.64,0.23,1.00,0.52,0.05,0.11,0.64,0.52,0.05,0.52,0.05",67,2.93,0.08,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",123
"connect,mcp",mcp connection,Informational,140,"0.06,0.22,0.35,0.22,0.43,0.29,0.22,0.22,0.29,0.43,0.66,1.00",49,6.26,0.02,"AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches",127
"context,mcp",mcp context,Informational,70,"1.00,1.00,0.64,0.82,0.82,0.36,0.36,0.45,0.45,0.00,0.45,0.45",78,3.22,0.12,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches, Things to know",126
"explained,mcp",mcp explained,Informational,390,"0.81,1.00,0.81,0.54,0.54,0.54,0.36,0.36,0.44,0.44,0.54,0.54",55,0.39,0.11,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches",59600000
"ai,mcp",mcp for ai,Informational,210,"1.00,0.65,0.81,0.65,0.81,0.53,0.43,0.43,0.53,0.53,0.81,1.00",52,4.88,0.40,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom",123
"format,mcp",mcp format,Informational,90,"0.41,0.64,0.82,1.00,0.41,0.64,0.41,0.29,0.29,0.41,0.05,0.64",69,2.01,0.06,"Sitelinks, AI Overview, Reviews, Video, Video carousel",132
"layer,mcp",mcp layer,Informational,90,"0.03,0.42,0.42,0.07,0.42,0.42,0.42,0.53,0.53,0.53,0.65,1.00",35,5.79,0.06,"Sitelinks, AI Overview, Video, People also ask, Related searches, Ads bottom",132
"definition,mcp,protocol",mcp protocol definition,Informational,50,"0.07,1.00,0.65,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.15,0.26",62,1.47,0.12,"Sitelinks, AI Overview, Video, People also ask, Related searches",128
"definition,mcp,server",mcp server definition,Informational,480,"0.36,0.62,0.62,1.00,0.62,0.06,0.13,0.20,0.08,0.16,0.24,0.36",66,0.50,0.11,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches",20400000
"mcp,server,tool",mcp server tool,"Informational, Transactional",40,"0.63,0.27,0.18,0.63,0.09,1.00,0.00,0.00,0.00,1.00,0.00,0.00",54,5.71,0.30,"Sitelinks, Video, People also ask, Discussions and forums, Related searches, Ads top, Ads middle",128
"mcp,software",mcp software,Informational,170,"0.80,0.80,1.00,0.65,0.65,0.53,0.53,0.53,0.53,0.65,0.65,0.65",70,2.38,0.08,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, People also ask, Related searches, Things to know",127
"mcp,stand",mcp stands for,Informational,480,"0.24,0.38,0.59,0.47,0.47,0.38,0.24,0.38,0.59,0.47,0.88,1.00",66,0.94,0.01,"AI Overview, Video, Video carousel, People also ask, Related searches",120
mcp,mcp what is it,Informational,170,"1.00,0.80,0.43,0.65,0.43,0.43,0.43,0.28,0.52,0.65,0.80,1.00",53,0.41,0.05,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads middle",129
"context,mcp,model,protocol,servers",model context protocol mcp servers,Informational,480,"0.08,0.36,0.55,0.36,0.30,0.36,1.00,0.10,0.24,0.36,0.55,0.67",76,5.10,0.19,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",185
"context,model,official,protocol,site",model context protocol official site,Informational,40,"0.63,1.00,0.00,0.00,0.00,0.00,0.00,0.00",70,0.00,0.00,"AI Overview, Video, People also ask, Related searches",133
"context,model,protocol,support",model context protocol support,Informational,40,"0.14,0.14,0.28,0.28,1.00,0.28,0.14,0.14,0.14,0.14,0.14,0.14",73,0.00,0.05,"Sitelinks, AI Overview, Video, Video carousel, Related searches",132
"mcp,open,source",open source mcp,Informational,70,"0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,1.00",74,6.77,0.16,"Sitelinks, Video, Video carousel, Related searches",129
"mcp,software",software mcp,Informational,30,"0.43,0.43,0.00,0.43,0.00,0.43,0.43,0.29,0.57,0.43,1.00,1.00",68,3.27,0.13,"AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches, Things to know",128
"ai,mcp",what are mcp in ai,Informational,50,"0.11,0.64,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11",75,0.82,0.20,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",188
mcp,what are mcp's,Informational,40,"0.14,0.21,0.14,0.50,0.14,0.21,0.07,0.28,1.00,0.14,0.14,0.35",68,0.00,0.03,"AI Overview, Video, Video carousel, People also ask, Related searches",129
mcp,what is an mcp,Informational,2900,"0.13,0.15,0.15,0.19,0.15,0.19,0.15,0.08,0.29,0.44,1.00,0.81",50,0.66,0.05,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches",126
"ai,mcp",what is an mcp in ai,Informational,170,"0.15,0.15,0.44,0.15,0.29,0.29,0.19,0.15,0.23,0.44,0.54,1.00",62,1.63,0.21,"AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Related searches",191
"mcp,software",what is mcp in software,Informational,40,"1.00,0.18,0.18,0.18,0.18,0.27,0.18,0.18,0.18,0.18,0.18,0.18",73,0.28,0.13,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Related searches",197
"context,model,protocol",what is model context protocol,Informational,1300,"1.00,0.84,1.00,1.00,1.00,0.52,0.68,0.37,0.46,0.46,0.68,0.68",84,1.74,0.24,"Sitelinks, AI Overview, Video, People also ask, Related searches",200
mcp,what mcp,Informational,70,"0.00,1.00,0.00,0.00,0.00,0.53,0.34,0.19,0.26,0.80,0.42,0.19",65,0.70,0.05,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom",124
mcp,what's an mcp,Informational,140,"0.43,0.28,0.66,0.53,0.35,0.66,0.00,0.35,0.43,1.00,1.00,0.82",57,0.00,0.01,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",129
mcp,what's mcp,Informational,170,"0.66,0.81,1.00,0.54,0.18,0.22,0.22,0.02,0.29,0.43,0.35,0.66",53,0.45,0.05,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",131
"ai,mcp",what's mcp in ai,Informational,40,"0.26,0.26,0.26,0.19,0.19,0.19,0.00,0.00,0.00,0.80,1.00,0.00",64,1.06,0.19,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",60000000
"mcp,what",whats mcp,Informational,390,"0.16,0.20,0.20,0.20,0.30,0.30,0.45,0.24,0.45,0.45,1.00,0.76",45,0.48,0.05,"Sitelinks, AI Overview, Video, People also ask, Related searches, Ads bottom",125
"host,mcp,servers",where are mcp servers hosted,Informational,40,"1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",40,0.00,0.03,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",128
"ai,mcp,meaning",ai mcp meaning,Informational,170,"0.04,0.35,0.35,0.35,0.35,0.43,0.35,0.43,0.43,0.54,1.00,1.00",63,1.19,0.17,"AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",125
"ai,mcp,protocol",ai mcp protocol,Informational,90,"0.52,1.00,0.80,0.52,0.52,0.33,0.09,0.09,0.23,0.19,0.19,0.09",78,5.11,0.49,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",153
"ai,mpc",ai mpc,Informational,110,"0.53,1.00,0.43,0.28,0.03,0.28,0.03,0.15,0.12,0.34,0.15,0.21",71,5.34,0.02,"AI Overview, Video, Video carousel, People also ask, Related searches",123
"mcp,servers",all mcp servers,Informational,40,"0.14,0.28,0.78,0.78,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14",62,1.44,0.29,"Sitelinks, Video, Related searches",52900000
"anthropic,context,model,protocol",anthropic model context protocol,Informational,480,"0.37,0.30,0.44,0.19,0.19,1.00,0.30,0.13,0.37,0.09,0.13,0.37",95,6.39,0.04,"Sitelinks, Video, People also ask, Related searches, Things to know",123
"context,mcp",context mcp,Informational,260,"0.54,0.81,0.29,1.00,0.81,0.00,0.09,0.05,0.09,0.09,0.23,0.12",79,4.89,0.10,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches",131
"define,mcp",define mcp,Informational,260,"0.17,0.21,0.21,0.14,0.39,0.26,0.32,0.14,0.26,0.48,0.59,1.00",59,0.51,0.03,"Sitelinks, AI Overview, Video, People also ask, Related searches",121
"example,mcp,servers",example mcp servers,Informational,90,"0.82,0.64,1.00,1.00,0.64,0.52,0.52,0.23,0.00,0.41,0.17,0.41",51,2.54,0.28,"AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches",123
"explained,mcp",explain mcp,Informational,90,"1.00,0.82,0.64,0.11,0.52,0.11,0.52,0.29,0.11,0.64,1.00,0.82",50,0.61,0.12,"Sitelinks, AI Overview, Video, Video carousel, Related searches",117
"context,explained,model,protocol",explain model context protocol,Informational,40,"0.55,1.00,1.00,0.77,0.44,0.44,0.22,0.22,0.33,0.22,0.33,0.22",62,0.70,0.15,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches",130
"mcp,server,work",how mcp server works,Informational,50,"0.23,0.23,0.41,0.23,0.23,0.23,0.17,0.11,0.11,0.11,1.00,0.11",52,1.20,0.24,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom",127
mcp,mcp,"Informational, Commercial",74000,"0.81,1.00,0.81,0.81,0.66,0.81,0.66,0.44,0.66,0.66,1.00,0.81",60,2.88,0.05,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Things to know",126
"ai,mcp",mcp ai,Informational,9900,"0.81,1.00,0.81,0.30,0.54,0.35,0.30,0.19,0.35,0.44,0.54,0.44",63,0.00,0.33,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches, Ads bottom",125
"code,mcp",mcp code,Informational,90,"0.14,0.79,0.50,1.00,1.00,1.00,0.64,0.00,1.00,0.64,0.64,0.50",58,2.93,0.08,"AI Overview, Video, People also ask, Related searches, Ads bottom",128
"computer,mcp",mcp computing,Informational,50,"0.56,0.56,0.28,1.00,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28",53,0.00,0.12,"AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",117
"date,mcp",mcp data,Informational,40,"0.00,0.17,1.00,0.11,0.11,0.00,1.00,0.00,0.00,0.00,0.64,0.05",72,4.87,0.04,"AI Overview, Video, Video carousel, People also ask, Related searches",127
"ai,definition,mcp",mcp definition ai,Informational,140,"0.52,0.80,0.80,1.00,1.00,1.00,0.33,0.42,0.52,0.52,0.66,0.80",67,1.00,0.15,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Related searches",104
"development,mcp",mcp development,Informational,140,"0.66,1.00,0.80,0.80,0.80,0.66,0.52,0.42,0.42,0.42,0.66,0.42",48,6.48,0.12,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",128
"form,full,mcp",mcp full form,Informational,390,"0.39,0.32,0.59,0.39,0.48,0.39,0.39,0.26,0.59,0.59,1.00,0.72",79,0.00,0.00,"Sitelinks, Video, Video carousel, People also ask, Related searches",62700000
"ai,form,full,mcp",mcp full form in ai,Informational,70,"0.05,1.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.82,0.43",53,0.00,0.02,"AI Overview, Video, Video carousel, People also ask, Related searches",183
