Groups,Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
"awesome,list,mcp,servers",awesome mcp servers list,Informational,390,"0.30,0.16,0.05,1.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.01",32,0.00,0.33,"Sitelinks, Video, Discussions and forums, Related searches",131
"2025,best,mcp,servers",best mcp servers 2025,Commercial,40,"0.00,1.00,0.64,0.11,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.00",27,0.00,0.22,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Ads bottom",24000000
"development,mcp,servers",mcp servers for developers,Informational,30,"0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",18,4.81,0.64,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches",124
"mcp,must,servers",must have mcp servers,Informational,110,"0.03,0.03,0.04,1.00,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02",37,0.00,0.06,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Ads bottom",19100000
"awesome,mcp",awesome mcp,Informational,1000,"1.00,1.00,1.00,1.00,0.68,0.68,0.46,0.46,0.54,0.46,0.54,0.37",46,2.84,0.02,"Sitelinks, Video",119
"awesome,mcp,server",awesome mcp server,Informational,320,"0.67,0.15,0.81,1.00,0.54,0.00,0.35,1.00,0.54,0.00,0.15,0.04",44,3.79,0.08,"Sitelinks, Reviews, Video, Discussions and forums, Related searches",126
"awesome,mcp,servers",awesome-mcp-servers,Commercial,1300,"1.00,0.06,0.06,0.00,1.00,0.00,0.00,0.06,0.09,0.09,0.24,0.15",34,3.62,0.03,"Sitelinks, Video, Video carousel, Discussions and forums, Related searches, Ads top, Ads bottom",123
"cool,mcp,servers",cool mcp servers,Informational,40,"0.71,0.00,0.14,0.00,0.43,0.57,0.00,1.00,1.00,0.71,0.71,0.43",41,3.14,0.34,"Sitelinks, Video, Discussions and forums, Related searches, Ads top, Ads bottom",134
"list,mcp",mcp list,Informational,260,"0.53,0.81,1.00,1.00,0.53,0.67,0.43,0.43,0.53,0.53,0.67,0.43",45,0.00,0.01,"Sitelinks, Video, Video carousel, Related searches",130
"awesome,github,mcp,servers",awesome mcp servers github,Navigational,110,"0.04,1.00,0.52,1.00,1.00,0.42,0.52,0.42,0.42,0.52,0.66,0.42",60,0.00,0.01,"Sitelinks, Video, Discussions and forums, Related searches, Ads bottom",
"awesome,github],mcp,servers",awesome mcp servers github],Navigational,90,"0.03,0.15,0.21,1.00,0.15,0.28,0.06,0.06,0.06,0.00,0.15,0.06",45,0.00,0.01,"Sitelinks, Discussions and forums, Related searches",104
"awesome,mcp",awesome-mcp,Informational,170,"0.00,0.00,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,1.00",40,0.00,0.00,"Sitelinks, Video, Related searches",122
"awsome,mcp",awsome mcp,Informational,170,"0.00,0.00,0.00,0.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00",40,0.00,0.00,"Sitelinks, Video, Video carousel, Related searches",123
"best,cursor,mcp",best mcp for cursor,Commercial,110,"0.53,0.53,0.05,0.05,0.05,0.05,0.05,1.00,0.05,0.05,0.05,0.05",19,0.00,0.02,"Sitelinks, AI Overview, Video, Discussions and forums, Related searches",123
"best,dev,generator,mcp,server",best mcp server generator for devs,Commercial,40,"1.00,0.22,0.00,0.00,0.00,0.00,0.00",26,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches, Ads bottom",189
"best,claude,code,mcp,servers",best mcp servers for claude code,Commercial,320,"0.06,0.16,0.13,1.00,0.20,0.30,0.16,0.13,0.36,0.36,0.36,0.24",10,5.50,0.18,"Sitelinks, AI Overview, Video, Video carousel, Related searches",130
"best,cursor,mcp,servers",best mcp servers for cursor,Commercial,260,"0.20,0.24,0.13,1.00,0.05,0.05,0.05,0.03,0.05,0.03,0.03,0.02",19,0.00,0.05,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches, Ads top, Ads bottom",128
"best,claude,code,mcps",best mcps for claude code,"Informational, Commercial",90,"0.07,1.00,1.00,0.80,0.07,0.07,0.07,0.07,0.07,0.42,0.42,0.07",10,11.12,0.15,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Discussions and forums, Related searches",135
"coding,mcp,servers",coding mcp servers,Informational,30,"0.14,0.28,0.28,0.28,1.00,0.71,0.28,0.28,0.28,0.28,0.28,0.28",14,5.12,0.23,"Video, Video carousel, Discussions and forums, Related searches",108
"development,mcp",developer mcp,Informational,40,"0.11,1.00,0.11,0.64,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11",52,6.67,0.16,"Sitelinks, AI Overview, Video, People also ask",129
"github,list,mcp,servers",list of mcp servers github,"Navigational, Transactional",90,"1.00,0.34,0.15,1.00,0.15,0.15,0.15,0.06,0.06,0.06,0.06,0.06",88,0.00,0.08,"Sitelinks, Video, Related searches",149
"awesome,mcp",mcp awesome,Informational,90,"1.00,1.00,0.40,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.17,0.11",48,0.00,0.01,"Video, Video carousel, Related searches",125
"github,list,mcp",mcp list github,Navigational,140,"1.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",65,0.00,0.04,"Sitelinks, Video, People also ask, Related searches",105
"list,mcp,server,tool",mcp server list tools,Informational,40,"0.50,0.14,0.14,0.14,1.00,1.00,0.14,0.14,0.14,0.14,0.14,0.14",50,2.94,0.14,"Sitelinks, AI Overview, Video, Video carousel, Related searches",117
"mcp,server,tool",mcp server tools,Informational,170,"0.53,0.66,1.00,0.43,0.43,0.28,0.23,0.28,0.35,0.28,0.53,0.35",68,5.71,0.30,"Sitelinks, AI Overview, Video, People also ask, Related searches, Ads bottom",128
"example,mcp,servers",mcp servers examples,Informational,50,"0.26,0.34,0.07,0.07,0.07,0.42,0.00,0.07,0.03,1.00,0.07,0.03",56,2.36,0.29,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Ads bottom",127
"list,mcp,servers",mcp servers list,Informational,590,"0.55,1.00,0.55,0.30,0.36,0.76,0.55,0.24,0.24,0.36,0.30,0.36",55,1.72,0.06,"Sitelinks, AI Overview, Video, Related searches",131
"list,mcp,tool",mcp tools list,Informational,70,"0.04,0.42,0.42,1.00,0.52,0.80,0.09,0.09,0.80,0.42,0.33,0.14",45,2.12,0.07,"Sitelinks, AI Overview, Video, Related searches, Ads bottom",60000000
mcpservers,mcpservers,Navigational,260,"0.36,0.66,0.23,1.00,0.05,0.29,0.29,0.09,0.29,0.15,0.15,0.29",83,0.21,0.18,"Sitelinks, Video, Video carousel, Short videos, People also ask, Related searches, Ads top, Ads middle",129
"mcp,servers",all mcp servers,Informational,40,"0.14,0.28,0.78,0.78,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14",62,1.44,0.29,"Sitelinks, Video, Related searches",52900000
"awesome,client,mcp",awesome mcp clients,Informational,40,"1.00,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17",29,0.00,0.33,"Sitelinks, Video, People also ask, Discussions and forums, Related searches",128
"awesome,mcp,repair",awesome mcp repo,"Informational, Transactional",40,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",69,0.00,0.33,"Sitelinks, Video, Video carousel, Discussions and forums, Related searches, Ads top",4570000
"best,development,generator,mcp,tool",best developer tools for mcp generation,"Informational, Commercial",40,"1.00,0.42,0.00,0.00,0.00,0.00,0.00",19,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches, Ads bottom, Ads middle",140
"best,client,mcp",best mcp client,Commercial,90,"1.00,0.66,1.00,0.66,0.05,0.23,0.32,0.14,0.09,0.09,0.09,0.09",39,0.00,0.06,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches, Ads bottom",129
"best,client,mcp",best mcp clients,Commercial,40,"0.22,1.00,1.00,0.77,0.22,0.77,0.11,0.22,0.22,0.22,0.22,0.22",26,0.00,0.18,"Sitelinks, AI Overview, Video, Related searches, Ads bottom",123
"best,claude,mcp,servers",best mcp servers for claude,Commercial,30,"0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11",14,3.55,0.14,"Sitelinks, AI Overview, Video, Video carousel, Related searches",131
"example,mcp,server",example mcp server,Informational,30,"0.57,0.71,1.00,0.28,0.28,0.42,0.71,0.71,1.00,1.00,1.00,0.28",,2.55,0.09,"Sitelinks, AI Overview, Image, Video, Video carousel, Discussions and forums, Related searches",125
"example,mcp,servers",examples of mcp servers,Informational,70,"0.64,0.78,1.00,1.00,0.78,0.78,0.78,0.14,0.14,0.14,0.78,0.35",67,0.00,0.07,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches",1960000
"free,mcp,tool",free mcp tools,Informational,30,"0.14,1.00,0.28,0.28,0.14,0.64,0.14,0.14,0.14,0.14,0.14,0.14",42,3.84,0.71,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches",122
"host,mcp,servers",hosted mcp servers,"Informational, Transactional",320,"1.00,0.28,0.11,0.02,0.17,0.28,0.11,0.11,0.09,0.07,0.15,0.11",52,3.18,0.63,"Sitelinks, Video, Related searches, Ads bottom",53100000
"client,list,mcp",list of mcp clients,Informational,40,"1.00,0.28,0.56,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28",45,0.00,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches",33200000
"list,mcp,servers",list of mcp servers,Informational,260,"1.00,1.00,1.00,0.81,0.54,0.35,0.29,0.22,0.29,0.54,0.66,0.29",47,2.63,0.07,"Sitelinks, AI Overview, Video, Related searches",123
"awsome,mcp",mcp awsome,Informational,170,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",29,0.00,0.00,"Video, Video carousel, Related searches",122
"client,list,mcp",mcp clients list,Informational,70,"0.28,1.00,0.28,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05",39,0.00,0.02,"Sitelinks, AI Overview, Video, Related searches, Ads middle",130
"list,mcp,tool",mcp list tools,Informational,320,"1.00,1.00,0.48,0.59,0.21,0.17,0.02,0.02,0.07,0.07,0.09,0.07",40,4.91,0.06,"Sitelinks, AI Overview, Reviews, Image, Video, Discussions and forums, Related searches",131
"market,mcp",mcp market,Navigational,720,"0.46,0.46,0.68,0.37,0.52,0.31,0.37,0.25,0.46,0.52,1.00,0.68",72,3.08,0.02,"Sitelinks, Video, People also ask, Related searches",131
"mcp,repository",mcp repositories,Informational,30,"0.11,0.00,0.00,0.00,1.00,0.00,0.00,0.41,0.11,0.52,0.05,0.00",68,4.50,0.05,"Sitelinks, Video, Video carousel, Related searches",125
"generator,mcp,server",mcp server generator,Informational,90,"0.35,0.35,0.35,1.00,1.00,0.65,0.28,0.21,0.21,0.35,0.49,0.35",18,3.78,0.45,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Ads bottom",122
"mcp,project,server",mcp server projects,"Informational, Commercial",50,"0.41,0.41,1.00,0.11,0.11,0.11,0.64,0.11,0.11,0.11,0.11,0.11",32,2.40,0.18,"Sitelinks, Video, Video carousel, Discussions and forums, Related searches",148
"mcp,tool",mcp tools,Informational,1900,"0.55,0.65,0.82,0.82,1.00,0.65,0.55,0.44,0.65,0.65,0.65,0.65",44,4.50,0.10,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches",186
mcp大全,mcp大全,Informational,90,"0.18,0.18,0.18,0.14,0.14,0.14,0.10,0.10,0.14,1.00,0.04,0.04",20,0.00,0.05,"Reviews, Video, Related searches",135
"context,list,model,protocol,servers",model context protocol servers list,Informational,40,"0.18,0.18,0.18,1.00,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.45",70,0.00,0.33,"Sitelinks, Video, Discussions and forums, Related searches",131
"context,model,protocol,tool",model context protocol tools,Informational,30,"0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.00,0.18,0.18",51,6.84,0.28,"Sitelinks, Video, Video carousel, Discussions and forums, Related searches",134
"github,modelcontextprotocol",modelcontextprotocol github,Navigational,170,"0.22,0.10,1.00,0.66,0.29,0.43,0.35,0.22,0.22,0.22,0.00,0.08",72,0.00,0.01,"Sitelinks, Video, Video carousel, Related searches",108
"mcp,official,servers",official mcp servers,Informational,110,"0.43,0.22,0.18,0.14,0.14,1.00,0.00,0.10,0.10,0.22,0.10,0.08",62,2.40,0.12,"Sitelinks, Video, Related searches, Ads bottom",53700000
"mcp,open,source",open source mcp,Informational,70,"0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,1.00",74,6.77,0.16,"Sitelinks, Video, Video carousel, Related searches",129
"mcp,open,server,source",open source mcp server,Informational,320,"0.02,0.37,1.00,0.02,0.16,0.13,0.03,0.02,0.01,0.13,0.03,0.04",82,3.00,0.17,"Sitelinks, AI Overview, Video, Related searches",129
"mcp,open,servers,source",open source mcp servers,Informational,210,"0.80,1.00,1.00,0.80,0.80,0.80,0.65,0.42,0.53,1.00,0.53,0.80",54,1.95,0.15,"Sitelinks, AI Overview, Video, Related searches, Ads bottom, Ads middle",123
"mcp,opensource,servers",opensource mcp servers,Commercial,210,"0.80,0.80,1.00,0.80,0.80,0.80,0.53,0.53,0.53,1.00,0.65,0.34",15,3.00,0.17,"Sitelinks, AI Overview, Video, Related searches, Ads top, Ads bottom",128
"mcp,public,server",public mcp server,"Informational, Commercial",40,"0.00,0.33,0.55,0.44,1.00,1.00,0.00,0.55,0.00,0.77,0.00,0.33",68,3.03,0.27,"Sitelinks, Reviews, Video, Video carousel, Related searches, Ads top, Ads bottom",132
"mcp,public,servers",public mcp servers,Informational,260,"0.23,1.00,0.54,0.36,0.44,0.44,0.23,0.23,0.15,0.36,0.23,0.19",65,1.31,0.34,"Sitelinks, Video, Video carousel, People also ask, Related searches",132
"awesome,mcp,punkpeye,servers",punkpeye awesome mcp servers,Navigational,50,"0.58,0.58,1.00,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27",7,11.10,0.06,"Sitelinks, Reviews, Video, Video carousel, Discussions and forums, Related searches",9580
"mcp,server",server mcp,Informational,50,"0.00,0.00,0.00,0.00,0.19,0.19,0.80,1.00,0.00,0.07,0.00,0.00",53,1.60,0.11,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom",128
"mcp,servers",what is an mcp servers,Informational,110,"0.02,0.03,0.03,0.03,0.03,0.00,0.00,0.00,0.00,1.00,0.00,0.00",55,0.80,0.18,"AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",187
"abaqus,mcp",abaqus mcp,Informational,50,"1.00,0.11,0.11,0.82,0.11,0.52,0.00,0.11,0.11,0.11,0.11,0.11",1,0.00,0.01,"Image pack, Video, Related searches",145
"ai,mcp,servers",ai mcp servers,Informational,110,"0.35,0.53,0.12,0.66,0.07,0.35,0.17,0.28,0.23,1.00,0.43,0.35",56,2.73,0.35,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Discussions and forums, Related searches, Ads bottom, Ads middle",47500000
"ai,mcp,tool",ai mcp tools,Informational,30,"1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",72,5.67,0.51,"Sitelinks, AI Overview, Video, People also ask, Related searches",118
"ai,mcps",ai mcps,Informational,40,"0.27,1.00,0.18,0.18,0.63,0.63,0.45,0.45,0.63,0.63,1.00,1.00",47,0.00,0.06,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches",3950000
"anki,best,buy,remote",anki remote best buy,Commercial,30,"0.44,1.00,1.00,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22",28,0.57,0.10,"Sitelinks, Image, Video, People also ask, Related searches",213000
"antd,mcp",antd mcp,Informational,90,"0.21,1.00,0.34,0.21,0.21,0.53,0.21,0.21,0.21,0.06,0.06,0.06",18,0.00,0.33,"Sitelinks, Video, Related searches",85
"awesome,github,mcp",awesome mcp github,"Informational, Transactional",110,"0.23,0.19,0.02,0.02,0.02,1.00,0.02,0.02,0.02,0.02,0.02,0.02",49,0.00,0.33,"Sitelinks, Video, Video carousel, Discussions and forums, Related searches",101
"best,claude,code,mcp",best claude code mcp,Commercial,40,"0.12,0.06,1.00,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06",8,0.00,0.05,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Ads bottom",128
"best,claude,code,mcp,servers",best claude code mcp servers,Commercial,70,"0.03,0.03,0.65,1.00,0.06,0.06,0.06,0.43,0.53,0.06,0.06,0.06",17,3.68,0.11,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom",150
"best,claude,code,mcps",best claude code mcps,Commercial,70,"0.09,0.09,1.00,1.00,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06",14,0.00,0.02,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches, Ads bottom",676000
"best,claude,mcp,servers",best claude mcp servers,Commercial,50,"0.11,0.64,0.64,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.11",15,4.27,0.16,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Ads top, Ads bottom",133
"best,cursor,mcp",best cursor mcp,Commercial,170,"1.00,1.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05",19,0.00,0.33,"Sitelinks, Video, Video carousel, Discussions and forums, Related searches",117
"best,cursor,mcps",best mcps for cursor,Commercial,40,"0.05,1.00,0.05,0.05,0.05,0.05,0.05,0.05,0.00,0.00,0.05,0.05",9,9.28,0.10,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches, Ads top, Ads bottom",119
"best,mcp,ui",best ui mcp,Commercial,70,"0.00,0.00,0.12,1.00,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02",48,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Ads bottom",193
"allowed,brightdata,free,service",brightdata service allows free,Informational,170,"0.00,0.00,0.02,0.88,1.00,0.14,0.00,0.02,0.11,0.02,0.11,0.17",56,0.00,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches",257000
"build,mcp,server",build your own mcp server,Informational,90,"0.52,0.80,0.52,0.66,0.09,1.00,0.23,0.09,0.09,0.19,0.23,0.09",38,3.39,0.39,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Discussions and forums, Related searches, Ads bottom",161
"awesome,c",c++ awesome,Informational,90,"1.00,0.29,0.52,0.41,0.52,0.82,0.00,0.64,0.52,0.41,0.41,0.41",35,0.00,0.00,"Sitelinks, Video, Discussions and forums, Related searches",6620000
"best,claude,code,mcps",claude code best mcps,Commercial,590,"0.00,1.00,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",15,0.00,0.03,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches",106
"claude,code,list,mcp,servers",claude code mcp servers list,Informational,40,"0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.22,0.22,0.22,0.22,0.22",26,0.00,0.33,"Sitelinks, AI Overview, Video, Discussions and forums, Related searches",94
"claude,list,mcp",claude mcp list,Informational,140,"0.06,0.53,0.34,0.53,0.06,0.28,1.00,0.21,1.00,0.65,1.00,0.65",75,15.52,0.04,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Ads top",36200000
"claude,mpc",claude mpc,Informational,90,"0.00,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.79,1.00",73,0.00,0.33,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches",491000
"coding,mcp",coding mcp,Informational,30,"0.07,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",61,1.75,0.18,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom",103
"copilot,mcp,servers",copilot mcp servers,"Informational, Transactional",50,"0.36,0.36,0.63,1.00,0.81,0.63,0.81,0.27,0.45,0.36,0.36,0.45",44,0.00,0.04,"Sitelinks, Image, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches",53400000
"cursor,directory,mcp",cursor.directory mcp,Navigational,210,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",24,0.00,0.00,"Sitelinks, Video, Video carousel, Related searches, Ads bottom",22700000
"everything,mcp,search",everything search mcp,Informational,50,"0.05,1.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05",2,0.00,0.33,"AI Overview, Reviews, Video, Video carousel, Related searches",135
"example,mcp,servers",example mcp servers,Informational,90,"0.82,0.64,1.00,1.00,0.64,0.52,0.52,0.23,0.00,0.41,0.17,0.41",51,2.54,0.28,"AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches",123
"free,mcp",free mcp,Informational,90,"0.02,0.02,0.02,1.00,0.02,0.02,0.19,0.09,0.06,0.23,0.15,0.09",49,3.45,0.18,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches",58800000
"free,mcp,server",free mcp server,Informational,210,"0.02,1.00,0.07,0.17,0.11,0.21,0.11,0.11,0.09,0.17,0.26,0.26",44,4.33,0.36,"Sitelinks, AI Overview, Video, People also ask, Related searches",131
"free,mcp,servers",free mcp servers,Informational,390,"0.26,0.72,0.26,0.32,0.21,0.21,0.21,0.21,0.21,0.59,1.00,0.39",32,4.33,0.36,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom",125
"copilot,github,mcp,servers",github copilot mcp servers,"Informational, Transactional",70,"0.41,0.41,1.00,0.82,0.64,0.82,0.64,0.17,0.41,0.29,0.52,0.17",55,0.00,0.05,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches",109
"cursor,github,mcp,server",github cursor mcp server,Informational,320,"1.00,0.24,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01",44,0.00,0.04,"Sitelinks, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches, Ads bottom",9450000
"github,mcp,playwright,server",github playwright mcp server,Navigational,40,"0.77,0.33,1.00,0.33,0.77,0.33,0.22,0.00,0.22,0.22,0.22,0.22",67,0.00,0.00,"Sitelinks, Image, Video, Video carousel, Related searches, Ads bottom",1800000
"chrome,google,mcp,server",google chrome mcp server,Commercial,40,"0.11,0.29,0.52,0.11,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11",46,0.00,0.02,"Sitelinks, Video, People also ask, Related searches",19400000
"host,mcp,server",hosted mcp server,Informational,50,"0.27,1.00,0.17,0.17,0.81,0.44,0.37,0.17,0.00,0.00,0.08,0.17",36,4.92,0.52,"Sitelinks, AI Overview, Video, Discussions and forums, Related searches, Ads bottom",133
"make,mcp,server",how to make mcp server,Informational,140,"0.54,0.06,0.06,1.00,0.05,0.02,0.02,0.02,0.02,0.06,0.19,0.02",42,2.79,0.29,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Discussions and forums, Related searches, Ads bottom",133
"mcp,server,test",how to test mcp server,Informational,90,"0.43,0.28,0.43,0.05,0.05,1.00,0.05,0.05,0.05,0.05,0.05,0.00",23,6.42,0.24,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches, Ads top, Ads middle",154
"2025,langchain,mcp,news,support",langchain mcp support news 2025,Informational,110,"1.00,0.42,0.00,0.00,0.00,0.00,0.00",15,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Related searches",70600
"list,server",list of server,Informational,40,"0.18,0.00,0.81,0.81,1.00,0.63,0.36,0.00,0.27,0.18,0.18,0.18",43,0.00,0.03,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches",1610000000
"local,mcp",local mcp,Informational,50,"0.11,0.64,0.64,0.11,0.64,0.29,0.23,0.11,0.17,0.29,0.11,1.00",47,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",126
"local,mcp,server",local mcp server,Informational,170,"0.11,0.08,0.11,0.08,0.07,0.11,0.20,0.07,0.07,0.16,1.00,0.20",16,2.96,0.11,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Ads bottom",124
"look,servers",looking for servers,Commercial,40,"0.83,0.83,1.00,0.58,0.42,0.83,0.42,0.42,0.42,0.42,0.42,0.42",31,2.25,0.38,"Video, People also ask, Jobs, Related searches, Ads bottom",317000000
