Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
mcp-server-chart,5,5,480,20,4.85,https://mcp.directory/servers/mcp-server-chart,11,2.19,53.00,0.13,88,"0, 3, 100, 0, 82, 0, 0, 0, 0, 0, 0, 0",2026-07-01,"Reviews, Video, Video Carousel, People also ask, Related searches",informational,Organic
codex mcp servers,4,4,260,33,119.08,https://mcp.directory/clients/codex,11,2.19,1309.00,0.3,54,"0, 0, 0, 1, 36, 23, 44, 36, 36, 66, 100, 81",2026-07-13,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
anthropic puppeteer mcp,1,1,40,17,0.00,https://mcp.directory/servers/puppeteer,9,1.79,0.00,0.33,129,"0, 0, 81, 18, 100, 100, 18, 63, 36, 18, 18, 18",2026-07-14,"Sitelinks, Reviews, Video, Video Carousel, Related searches, AI overview",informational,Organic
are mcp servers free,4,4,390,24,0.00,https://mcp.directory/blog/best-free-mcp-servers,8,1.6,0.00,0.08,132,"30, 30, 67, 30, 100, 30, 30, 30, 1, 1, 1, 2",2026-07-08,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
ref mcp,10,10,390,23,0.00,https://mcp.directory/blog/context7-vs-deepwiki-vs-ref-vs-docfork-2026,8,1.6,0.00,0.01,192,"0, 2, 32, 100, 59, 48, 48, 39, 48, 17, 21, 9",2026-06-28,"Sitelinks, Video, Related searches",informational,Organic
model context protocol mcp servers,3,3,480,76,5.10,https://mcp.directory/servers/context7,8,1.6,40.00,0.19,185,"5, 8, 36, 55, 36, 30, 36, 100, 10, 24, 36, 55",2026-06-03,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
touch designer mcp,8,8,390,7,0.00,https://mcp.directory/servers/touchdesigner,7,1.4,0.00,0.01,118,"13, 55, 13, 13, 13, 67, 13, 13, 13, 100, 13, 13",2026-06-03,"Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
brightdata official,5,5,720,61,0.00,https://mcp.directory/servers/bright-data,7,1.4,0.00,0,279000,"52, 100, 84, 84, 2, 0, 0, 0",2026-06-01,"Video, People also ask, Related searches",navigational,Organic
bookstack mcp,5,5,140,42,0.00,https://mcp.directory/skills/bookstack,6,1.2,0.00,0.33,92,"23, 23, 23, 23, 23, 43, 43, 100, 23, 23, 43, 5",2026-06-15,"Sitelinks, Reviews, Video, Related searches",informational,Organic
open source mcp server,10,10,320,82,3.00,https://mcp.directory/blog/best-free-mcp-servers,6,1.2,18.00,0.17,129,"5, 2, 37, 100, 2, 16, 13, 3, 2, 1, 13, 3",2026-06-16,"Sitelinks, Video, Related searches, AI overview",informational,Organic
notebooklm mcp server,5,5,140,46,6.71,https://mcp.directory/servers/notebooklm,6,1.2,40.00,0.06,81,"4, 2, 2, 2, 2, 2, 2, 2, 29, 100, 81, 29",2026-07-09,"Sitelinks, Reviews, Video, Video Carousel, Related searches",informational,Organic
mcp notebooklm,2,2,50,45,0.00,https://mcp.directory/servers/notebooklm,6,1.2,0.00,0.06,106,"6, 6, 6, 6, 6, 6, 6, 6, 6, 100, 6, 43",2026-07-10,"Sitelinks, Reviews, Video, Video Carousel, Related searches",informational,Organic
yingdao,4,4,140,3,2.34,https://mcp.directory/servers/yingdao-rpa,6,1.2,14.00,0.33,92,"9, 0, 7, 11, 0, 100, 7, 5, 0, 14, 0, 5",2026-06-03,"Image pack, Related searches",navigational,Organic
awesome mcp server,8,8,320,44,3.79,https://mcp.directory/awesome-mcp-servers,6,1.2,22.00,0.08,126,"100, 32, 7, 39, 48, 26, 0, 17, 48, 26, 0, 7",2026-06-18,"Sitelinks, Reviews, Video, Related searches, Discussions and forums",informational,Organic
opensource mcp servers,6,6,210,15,3.00,https://mcp.directory/blog/best-free-mcp-servers,6,1.2,18.00,0.17,128,"80, 80, 80, 100, 80, 80, 80, 53, 53, 53, 100, 65",2026-06-07,"Sitelinks, Video, Ads top, Ads bottom, Related searches, AI overview",commercial,Organic
semgrep mcp,8,8,210,20,12.44,https://mcp.directory/servers/semgrep,5,1,62.00,0.45,91,"28, 28, 53, 100, 53, 82, 100, 35, 35, 43, 35, 53",2026-07-05,"Reviews, Video, Ads top, Ads bottom, Related searches",transactional,Organic
godot skills,5,5,170,19,0.00,https://mcp.directory/skills/godot,5,1,0.00,0.01,106,"0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 100, 13",2026-06-12,"Sitelinks, Reviews, Video, Video Carousel, Related searches, AI overview",informational,Organic
plaid mcp,7,7,210,18,14.38,https://mcp.directory/servers/plaid,5,1,71.00,0.17,144,"10, 54, 66, 43, 22, 35, 35, 35, 35, 22, 100, 43",2026-06-02,"Video, Related searches, AI overview",navigational,Organic
semgrep mcp server,9,9,170,22,8.16,https://mcp.directory/servers/semgrep,4,0.8,32.00,0.31,89,"3, 0, 1, 10, 6, 100, 1, 1, 1, 1, 1, 3",2026-07-13,"Sitelinks, Reviews, Video, Ads top, Related searches, Ads middle","informational, navigational",Organic
context 7 mcp,9,9,880,18,15.01,https://mcp.directory/servers/context7,4,0.8,60.00,0.04,96,"24, 67, 55, 76, 100, 76, 100, 30, 36, 76, 36, 55",2026-06-11,"Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
duckduckgo mcp server,4,4,110,10,0.00,https://mcp.directory/servers/duckduckgo,4,0.8,0.00,0.01,87,"6, 100, 34, 53, 34, 12, 34, 28, 28, 9, 28, 34",2026-06-12,"Reviews, People also ask, Related searches, AI overview",informational,Organic
free mcp,4,4,110,44,2.85,https://mcp.directory/blog/best-free-mcp-servers,4,0.8,11.00,0.08,123,"2, 2, 2, 100, 2, 2, 19, 9, 6, 23, 15, 9",2026-06-29,"Video, Video Carousel, Related searches, AI overview",informational,Organic
free mcp server,9,9,210,44,4.33,https://mcp.directory/blog/best-free-mcp-servers,3,0.6,12.00,0.36,131,"17, 2, 100, 7, 17, 11, 21, 11, 11, 9, 17, 26",2026-06-17,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
codex-mcp-server,6,6,170,22,17.06,https://mcp.directory/clients/codex,3,0.6,51.00,0.21,130,"0, 0, 5, 2, 17, 82, 66, 53, 43, 66, 82, 100",2026-06-10,"Sitelinks, Video, Ads top, Ads bottom, Video Carousel, People also ask, Related searches",informational,Organic
duck duck go mcp,3,3,50,10,0.00,https://mcp.directory/servers/duckduckgo,3,0.6,0.00,0.33,92,"11, 82, 11, 11, 23, 11, 100, 11, 11, 11, 11, 11",2026-06-22,"Reviews, Video, Related searches, AI overview",informational,Organic
xcodebuildmcp,12,12,720,15,0.00,https://mcp.directory/servers/xcodebuild,3,0.6,0.00,0.01,112,"0, 13, 7, 1, 5, 1, 0, 1, 7, 100, 65, 82",2026-06-08,"Sitelinks, Video, Video Carousel, Related searches",informational,Organic
airbnb mcp server,1,1,140,22,3.32,https://mcp.directory/servers/airbnb,3,0.6,9.00,0.2,86,"66, 53, 53, 35, 100, 43, 5, 5, 17, 17, 28, 28",2026-07-11,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",navigational,AI overview
ableton mcp,8,8,210,12,0.00,https://mcp.directory/servers/ableton-live,3,0.6,0.00,0.33,146,"43, 66, 43, 35, 35, 35, 28, 43, 53, 53, 53, 100",2026-07-03,"Sitelinks, Reviews, Video, Video Carousel, Related searches",informational,Organic
software architect skills,2,2,40,25,0.00,https://mcp.directory/skills/software-architecture,3,0.6,0.00,0.04,130,"7, 7, 15, 65, 7, 7, 7, 7, 7, 7, 15, 15",2026-07-01,"Sitelinks, Reviews, Video, Related searches, Discussions and forums, AI overview",informational,Organic
openclaw himalaya,8,8,170,,0.00,https://mcp.directory/skills/himalaya,3,0.6,0.00,0.01,141,"0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 100, 5",2026-06-12,"Sitelinks, Reviews, Video, Ads bottom, Related searches, Discussions and forums, Ads middle, AI overview","commercial, informational",Organic
frida mcp,4,4,50,15,0.00,https://mcp.directory/servers/frida,3,0.6,0.00,0.33,87,"66, 9, 9, 9, 9, 9, 9, 9, 33, 9, 100, 52",2026-07-09,"Reviews, Video, Related searches",informational,Organic
beads mcp,5,5,50,54,0.00,https://mcp.directory/servers/beads,2,0.4,0.00,0.33,160,"0, 0, 0, 0, 0, 11, 100, 82, 64, 64, 64, 11",2026-07-12,"Sitelinks, Reviews, Video, Related searches",informational,Organic
awesome mcp servers list,10,10,390,32,0.00,https://mcp.directory/awesome-mcp-servers,2,0.4,0.00,0.33,131,"5, 30, 16, 5, 100, 3, 0, 0, 0, 0, 0, 0",2026-06-14,"Sitelinks, Video, Related searches, Discussions and forums",informational,Organic
are mcp servers free,1,1,390,24,0.00,https://mcp.directory/blog/best-free-mcp-servers,2,0.4,0.00,0.08,132,"30, 30, 67, 30, 100, 30, 30, 30, 1, 1, 1, 2",2026-07-08,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
desktop commander,10,10,590,21,0.00,https://mcp.directory/servers/desktop-commander,2,0.4,0.00,0.01,170,"16, 67, 76, 55, 24, 30, 36, 36, 13, 36, 30, 100",2026-06-04,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
mcp directory anthropic,5,5,50,57,0.00,https://mcp.directory/publishers/anthropic,2,0.4,0.00,0.07,102,"0, 0, 100, 23, 80, 23, 23, 9, 9, 9, 9, 9",2026-06-04,"Sitelinks, Video Carousel, Related searches",informational,Organic
airbnb mcp server,2,2,140,22,3.32,https://mcp.directory/servers/airbnb,2,0.4,6.00,0.2,86,"66, 53, 53, 35, 100, 43, 5, 5, 17, 17, 28, 28",2026-07-11,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",navigational,Organic
is claude mcp free,1,1,70,31,0.00,https://mcp.directory/blog/best-free-mcp-servers,2,0.4,0.00,0.02,105,"11, 64, 100, 64, 11, 11, 11, 100, 11, 11, 11, 11",2026-06-15,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches",informational,People also ask
chrome-mcp-server,18,18,880,64,7.29,https://mcp.directory/servers/chrome-devtools,2,0.4,14.00,0.05,121,"52, 100, 0, 16, 0, 7, 10, 5, 20",2026-06-21,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
deepwiki mcp server,5,5,50,14,0.00,https://mcp.directory/servers/deepwiki,2,0.4,0.00,0.01,102,"0, 11, 11, 64, 82, 64, 11, 11, 11, 11, 100, 11",2026-06-09,Related searches,informational,Organic
openrouter mcp,11,11,170,7,0.00,https://mcp.directory/servers/openrouter,2,0.4,0.00,0.02,75,"53, 34, 81, 65, 81, 100, 65, 53, 28, 28, 43, 43",2026-06-07,"Sitelinks, Video, Related searches",informational,Organic
context7 alternatives,5,5,70,9,10.32,https://mcp.directory/blog/top-context7-mcp-alternatives,2,0.4,20.00,0.03,116,"0, 5, 0, 64, 82, 11, 11, 11, 82, 64, 100, 64",2026-06-12,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
context7 mcp claude code,11,11,260,23,16.74,https://mcp.directory/servers/context7,2,0.4,33.00,0.08,91,"0, 5, 29, 29, 100, 44, 23, 19, 12, 23, 12, 15",2026-06-14,"Sitelinks, Reviews, Video, Ads bottom, Related searches, AI overview",informational,Organic
brightdata official site,9,9,390,50,0.00,https://mcp.directory/servers/bright-data,2,0.4,0.00,0,295000,"67, 100, 76, 1, 0, 0, 0, 0",2026-06-02,"People also ask, Related searches","navigational, transactional",Organic
chrome dev tools mcp,24,24,1600,52,7.37,https://mcp.directory/servers/chrome-devtools,2,0.4,14.00,0.04,122,"0, 0, 0, 1, 1, 54, 100, 54, 54, 20, 54, 43",2026-06-23,"Sitelinks, Reviews, Video, Image, Video Carousel, Related searches",informational,Organic
notebook lm mcp,10,10,110,44,12.22,https://mcp.directory/servers/notebooklm,2,0.4,24.00,0.04,168,"18, 10, 10, 4, 4, 4, 4, 29, 4, 66, 43, 100",2026-06-23,"Sitelinks, Reviews, Video, Related searches",informational,Organic
grep mcp,7,7,90,7,0.00,https://mcp.directory/servers/grep,2,0.4,0.00,0.33,117,"2, 2, 35, 22, 100, 4, 4, 4, 22, 4, 4, 4",2026-07-11,"Reviews, Video, Related searches",informational,Organic
akshare mcp,5,5,50,6,0.00,https://mcp.directory/servers/akshare-chinese-stock-market,2,0.4,0.00,0.33,83,"53, 15, 15, 0, 100, 0, 21, 0, 0, 6, 0, 0",2026-06-23,"Sitelinks, Reviews, Ads bottom, Related searches",informational,Organic
pokepast,9,9,210,24,0.00,https://mcp.directory/servers/pokepaste,2,0.4,0.00,0.33,124,"23, 44, 19, 19, 15, 23, 19, 19, 12, 23, 15, 23",2026-06-10,"Image pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
ux ui pro max skill,10,10,210,,0.00,https://mcp.directory/skills/ui-ux-pro-max,1,0.2,0.00,0.01,120,"0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 11, 11",2026-06-09,"Sitelinks, Video, Video Carousel, Related searches",informational,Organic
ios simulator mcp,7,7,170,31,0.00,https://mcp.directory/servers/ios-simulator,1,0.2,0.00,0.33,108,"9, 0, 81, 53, 53, 34, 65, 34, 34, 81, 100, 81",2026-06-22,"Sitelinks, Reviews, Video, Related searches",navigational,Organic
sequential-thinking mcp,20,20,880,38,13.85,https://mcp.directory/servers/sequential-thinking,1,0.2,13.00,0.03,112,"100, 0, 100, 0, 79, 0, 0, 0, 24",2026-06-17,"Sitelinks, Reviews, Video, People also ask, Related searches, Discussions and forums",informational,Organic
mcp serena,10,10,70,49,0.00,https://mcp.directory/servers/serena,1,0.2,0.00,0.01,117,"6, 6, 6, 100, 100, 6, 6, 6, 6, 6, 6, 6",2026-06-30,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
open source mcp server,1,1,320,82,3.00,https://mcp.directory/blog/best-free-mcp-servers,1,0.2,3.00,0.17,129,"5, 2, 37, 100, 2, 16, 13, 3, 2, 1, 13, 3",2026-06-16,"Sitelinks, Video, Related searches, AI overview",informational,AI overview
vercel grep,15,15,390,26,0.00,https://mcp.directory/servers/grep,1,0.2,0.00,0.33,96,"30, 16, 16, 76, 16, 16, 30, 100, 30, 30, 16, 1",2026-06-03,"Video, Related searches",informational,Organic
desktop commander mcp,12,12,480,25,8.12,https://mcp.directory/servers/desktop-commander,1,0.2,8.00,0.02,153,"100, 76, 45, 30, 24, 24, 45, 16, 20, 10, 20, 20",2026-07-04,"Sitelinks, Reviews, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
/last30days,11,11,390,5,0.00,https://mcp.directory/skills/last30days,1,0.2,0.00,0.33,96,"32, 39, 32, 32, 32, 39, 32, 32, 39, 48, 100, 7",2026-06-02,"Video, Video Carousel, Related searches",informational,Organic
codex mcp,24,24,1300,24,14.77,https://mcp.directory/clients/codex,1,0.2,14.00,0.03,165,"0, 3, 3, 5, 24, 66, 80, 27, 27, 100, 44, 80",2026-06-20,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
aws athena mcp server,9,9,50,22,0.00,https://mcp.directory/servers/aws-athena,1,0.2,0.00,0.03,92,"100, 100, 11, 11, 11, 11, 11, 11, 11, 11, 17, 11",2026-07-12,"Sitelinks, Reviews, Video, Related searches, Ads middle",informational,Organic
brightdata official website,8,8,70,46,0.00,https://mcp.directory/servers/bright-data,1,0.2,0.00,0,113,"3, 0, 0, 65, 100, 65, 6, 0, 0, 0, 0, 3",2026-06-29,"Reviews, People also ask, Related searches, AI overview","navigational, transactional",Organic
selenium mcp,11,11,480,22,0.00,https://mcp.directory/servers/selenium,1,0.2,0.00,0,105,"8, 3, 8, 3, 55, 45, 30, 24, 76, 76, 100, 36",2026-06-14,"Reviews, Video, Ads top, Ads bottom, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
4get search engine,2,2,50,13,0.00,https://mcp.directory/servers/4get,1,0.2,0.00,0.33,93,"18, 18, 18, 100, 100, 100, 18, 18, 18, 18, 18, 100",2026-06-24,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,People also ask
whodb,12,12,210,28,0.74,https://mcp.directory/skills/whodb,1,0.2,0.00,0.02,106,"44, 18, 66, 81, 18, 54, 28, 0, 11, 100, 0, 0",2026-07-11,"Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
notebooklm-mcp-server,7,7,70,50,6.71,https://mcp.directory/servers/notebooklm,1,0.2,6.00,0.06,98,"3, 3, 7, 3, 3, 3, 7, 11, 53, 42, 100, 34",2026-07-05,"Sitelinks, Reviews, Video, Video Carousel, Related searches",informational,Organic
dev-browser skill,13,13,170,3,0.00,https://mcp.directory/skills/dev-browser,1,0.2,0.00,0.03,101,"0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 100, 1",2026-06-11,"Sitelinks, Reviews, Video, Related searches",informational,Organic
bitbucket mcp,14,14,260,29,11.90,https://mcp.directory/servers/bitbucket,1,0.2,11.00,0.01,91,"12, 19, 23, 12, 12, 19, 23, 23, 23, 36, 67, 100",2026-06-09,"Video, People also ask, Related searches",informational,Organic
r.jina.ai url format,18,18,1000,30,0.00,https://mcp.directory/blog/claude-jina-ai-skill-guide,1,0.2,0.00,0,103,100,2026-06-27,"Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
r.jina.ai url format,19,19,1000,30,0.00,https://mcp.directory/blog/claude-jina-ai-skill-guide,1,0.2,0.00,0,103,100,2026-06-27,"Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
contex7,21,21,880,38,15.55,https://mcp.directory/servers/context7,1,0.2,15.00,0.03,105,"11, 11, 24, 30, 20, 16, 30, 16, 20, 82, 30, 100",2026-06-11,"Reviews, Video, Video Carousel, People also ask, Related searches",informational,Organic
notion mcp server,24,24,880,46,2.85,https://mcp.directory/blog/best-notion-mcp-servers,1,0.2,2.00,0.04,101,"67, 55, 100, 76, 67, 67, 55, 45, 24, 55, 67, 76",2026-05-31,"Sitelinks, Video, Related searches","informational, transactional",Organic
capability-evolver,6,6,50,7,0.00,https://mcp.directory/skills/capability-evolver,1,0.2,0.00,0.33,80,"0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 53, 65",2026-07-12,"Reviews, Video, Related searches, Discussions and forums, AI overview",informational,Organic
grafana mcp,22,22,720,22,9.11,https://mcp.directory/servers/grafana,1,0.2,9.00,0.01,97,"8, 7, 20, 24, 24, 24, 30, 20, 24, 41, 66, 100",2026-06-25,"Sitelinks, Reviews, Video, Image, Video Carousel, Related searches",informational,Organic
modelcontextprotocol/server-sequential-thinking,11,11,260,29,0.00,https://mcp.directory/servers/sequential-thinking,1,0.2,0.00,0.01,124,"100, 0, 0, 3, 0, 0, 0, 3, 0",2026-06-17,"Sitelinks, Reviews, Video, Video Carousel, Related searches, AI overview",informational,Organic
awesome mcp github,8,8,90,54,0.00,https://mcp.directory/awesome-mcp-servers,1,0.2,0.00,0.05,111,"23, 19, 2, 2, 2, 100, 2, 2, 2, 2, 2, 2",2026-07-09,"Video, People also ask, Related searches, Discussions and forums",informational,Organic
bright data mcp,21,21,880,43,2.52,https://mcp.directory/servers/bright-data,1,0.2,2.00,0.11,118,"1, 20, 46, 20, 68, 100, 100, 84, 100, 8, 8, 13",2026-06-03,"Sitelinks, Video, People also ask, Related searches",transactional,Organic
notebooklm-mcp-cli,8,8,70,55,11.11,https://mcp.directory/servers/notebooklm,1,0.2,11.00,0.01,96,"0, 0, 0, 0, 0, 0, 0, 0, 17, 43, 100, 35",2026-07-06,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches",informational,Organic
context7 codex,10,10,90,36,0.00,https://mcp.directory/servers/context7,1,0.2,0.00,0.04,162,"0, 0, 0, 5, 5, 5, 5, 5, 5, 43, 100, 66",2026-07-05,"Sitelinks, Reviews, Video, Ads top, Related searches",informational,Organic
context7 codex,11,11,90,36,0.00,https://mcp.directory/servers/context7,1,0.2,0.00,0.04,162,"0, 0, 0, 5, 5, 5, 5, 5, 5, 43, 100, 66",2026-07-05,"Sitelinks, Reviews, Video, Ads top, Related searches",informational,Organic
anytype mcp,8,8,70,8,0.00,https://mcp.directory/servers/anytype,1,0.2,0.00,0.33,98,"9, 9, 9, 42, 9, 33, 9, 9, 9, 100, 52, 52",2026-07-07,"Reviews, Video, Video Carousel, Related searches",informational,Organic
markitdown mcp server,2,2,50,24,0.00,https://mcp.directory/servers/markitdown,1,0.2,0.00,0.01,115,"100, 64, 50, 100, 14, 28, 14, 14, 14, 14, 14, 14",2026-07-10,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
notebook lm mcp,11,11,110,44,12.22,https://mcp.directory/servers/notebooklm,1,0.2,12.00,0.04,168,"18, 10, 10, 4, 4, 4, 4, 29, 4, 66, 43, 100",2026-06-23,"Sitelinks, Reviews, Video, Related searches",informational,Organic
mcp-sequentialthinking-tools,11,11,210,27,0.00,https://mcp.directory/servers/sequential-thinking,1,0.2,0.00,0.33,185,"100, 0, 0, 0, 0, 0, 0, 0, 0, 0",2026-07-04,"Sitelinks, Reviews, Video, Video Carousel, Related searches",informational,Organic
abaqus mcp,7,7,50,1,0.00,https://mcp.directory/compare/abaqus-mcp-server-for-gui-scripting-vs-yepcode-mcp-server,1,0.2,0.00,0.01,145,"0, 100, 11, 11, 82, 11, 52, 0, 11, 11, 11, 11",2026-06-20,"Image pack, Video, Related searches",informational,Organic
free mcp tools,6,6,40,42,4.63,https://mcp.directory/blog/best-free-mcp-servers,1,0.2,4.00,0.44,124,"14, 100, 28, 28, 14, 64, 14, 14, 14, 14, 14, 14",2026-07-09,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
sequential thinking,19,19,720,31,0.00,https://mcp.directory/servers/sequential-thinking,1,0.2,0.00,0.33,103,"36, 76, 67, 76, 67, 55, 45, 16, 45, 36, 36, 45",2026-06-29,"Image pack, Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
r.jina.ai usage url format,19,19,1000,,0.00,https://mcp.directory/skills/jina-ai,1,0.2,0.00,0,104,100,2026-06-27,"Video, People also ask, Related searches, AI overview",informational,Organic
r.jina.ai usage url format,21,21,1000,,0.00,https://mcp.directory/skills/jina-ai,1,0.2,0.00,0,104,100,2026-06-27,"Video, People also ask, Related searches, AI overview",informational,Organic
claude mcp pdf,17,17,50,20,0.00,https://mcp.directory/skills/pdf,0,0,0.00,0.33,62,"28, 100, 14, 64, 100, 14, 14, 14, 14, 14, 14, 14",2026-07-08,"Sitelinks, Video, Related searches",informational,Organic
claude mcp pdf,28,28,50,20,0.00,https://mcp.directory/skills/pdf-processing,0,0,0.00,0.33,62,"28, 100, 14, 64, 100, 14, 14, 14, 14, 14, 14, 14",2026-07-08,"Sitelinks, Video, Related searches",informational,Organic
taskmaster dev,32,32,40,33,0.00,https://mcp.directory/servers/task-master,0,0,0.00,0.33,113,"29, 100, 64, 11, 11, 11, 11, 11, 11, 11, 11, 11",2026-07-08,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
add context7 to claude code,17,17,90,16,10.00,https://mcp.directory/servers/context7,0,0,0.00,0.09,112,"0, 53, 80, 80, 7, 100, 26, 7, 80, 7, 7, 7",2026-06-28,"Sitelinks, Reviews, Video, Video Carousel, Related searches, AI overview",informational,Organic
add context7 to claude code,38,38,90,16,10.00,https://mcp.directory/blog/context7-mcp-complete-guide-2026,0,0,0.00,0.09,112,"0, 53, 80, 80, 7, 100, 26, 7, 80, 7, 7, 7",2026-06-28,"Sitelinks, Reviews, Video, Video Carousel, Related searches, AI overview",informational,Organic
mcp openapi,37,37,30,14,6.74,https://mcp.directory/servers/openapi-documentation,0,0,0.00,0.12,136,"100, 18, 36, 81, 18, 18, 18, 18, 0, 18, 0, 0",2026-07-08,"Sitelinks, Reviews, Video, Video Carousel, Related searches, AI overview",informational,Organic
apple mail mcp,15,15,70,4,0.00,https://mcp.directory/skills/apple-mail,0,0,0.00,0.33,81,"11, 29, 11, 11, 52, 11, 41, 11, 11, 64, 64, 100",2026-07-07,"Reviews, Related searches",informational,Organic
model context protocol servers list,21,21,40,50,0.00,https://mcp.directory/awesome-mcp-servers,0,0,0.00,0.33,123,"18, 18, 18, 100, 100, 18, 18, 18, 18, 18, 18, 45",2026-07-12,"Sitelinks, Video, Ads bottom, Related searches, Discussions and forums",informational,Organic
jupyter mcp,39,39,480,11,0.00,https://mcp.directory/skills/jupyter-notebook,0,0,0.00,0.02,95,"31, 52, 100, 25, 16, 5, 8, 8, 1, 3, 7, 5",2026-06-15,"Sitelinks, Reviews, Video, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums",informational,Organic
