keyword,volume,kd,priority,verdict,relevance_call
label:[imap]-drafts,1000,28,P1,judge,
t2t bilibili comments,1000,24,P1,entity,
ai with no limits,1000,35,P1,judge,
suppr,1000,27,P1,entity,
react-email,1000,27,P1,entity,
chess.com api,1000,27,P1,judge,
npx skills,1000,28,P1,judge,
r.jina.ai url format,1000,30,P1,judge,
jina ai reader r.jina.ai url format,1000,30,P1,junk,
coupler.io,1000,49,P1,entity,
azure app registration,1000,38,P1,judge,
agentskills,1000,37,P1,entity,
droid cli,1000,24,P1,judge,
shellcheck,1000,41,P1,entity,
agent.md,1000,60,P2,judge,
zread.ai,1000,31,P2,entity,
figma code connect,1000,47,P2,judge,
vercel ai gateway,1000,47,P2,judge,
vercel ai elements,1000,37,P2,judge,
hugging face datasets,1000,35,P2,judge,
huly.io,1000,41,P2,entity,
server-sequential-thinking,1000,43,P2,entity,
azure ai document intelligence,1000,54,P2,judge,
postal charges calculator,1000,45,P2,judge,
tavily search,1000,37,P2,entity,
open interpreter,1000,41,P2,entity,
gitingest,1000,44,P2,entity,
postage amount calculator,1000,50,P2,judge,
azure cost management,1000,59,P2,attribute,
crashlytics,1000,63,P2,judge,
figure postage rates,1000,55,P2,judge,
agents md,1000,67,P2,entity,
waver ia,1000,50,P2,judge,
apollo client,1000,75,P2,judge,
shacdn,1000,77,P2,judge,
hyper3d api key,880,12,P0,entity,
appkitie,880,0,P0,judge,
hubspot api documentation,880,36,P0,judge,
appkittie,880,14,P0,judge,
mymcp,880,26,P0,entity,
contex7,880,38,P1,entity,
ddo audit,880,15,P1,judge,
azure devops api,880,35,P1,judge,
fred api key,880,34,P1,judge,
chatlog,880,30,P1,entity,
vercel deploy,880,45,P1,entity,
infinitalk,880,33,P1,judge,
ssemble.com,880,26,P1,entity,
