Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
skills directory,2,2,90,42,0.00,https://www.skills.sh/,11,0.67,0.00,0.02,131,"7, 7, 7, 7, 7, 7, 7, 7, 80, 100, 100, 80",2026-07-18,"Sitelinks, Video, People also ask, Related searches, AI overview",commercial,Organic
https://skills.sh/,1,1,40,40,0.00,https://www.skills.sh/,9,0.55,0.00,0.04,135000000,"0, 0, 0, 0, 0, 0, 0, 0, 52, 100, 52, 9",2026-07-12,"Sitelinks, Reviews, Video, Video Carousel, People also ask",informational,Organic
skills.sh what is it,1,1,50,15,0.00,https://www.skills.sh/,6,0.36,0.00,0.33,175,"100, 0, 77",2026-07-19,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
what is skills.sh,1,1,40,25,0.00,https://www.skills.sh/,5,0.3,0.00,0.33,17,"0, 0, 0, 0, 0, 0, 0, 0, 82, 82, 100, 52",2026-07-20,"Sitelinks, Video Carousel, People also ask, AI overview",informational,Organic
what is skills.sh,1,1,40,25,0.00,https://www.skills.sh/,2,0.12,0.00,0.33,17,"0, 0, 0, 0, 0, 0, 0, 0, 82, 82, 100, 52",2026-07-20,"Sitelinks, Video Carousel, People also ask, AI overview",informational,AI overview
findskills,2,2,50,1,0.00,https://skills.sh/,1,0.06,0.00,0.01,89,"0, 0, 0, 0, 0, 0, 0, 0, 23, 80, 100, 52",2026-07-17,"Reviews, Video, Related searches, AI overview",informational,AI overview
skills directory,2,2,90,42,0.00,https://www.skills.sh/,1,0.06,0.00,0.02,131,"7, 7, 7, 7, 7, 7, 7, 7, 80, 100, 100, 80",2026-07-18,"Sitelinks, Video, People also ask, Related searches, AI overview",commercial,AI overview
skills 网站,9,9,50,47,0.00,https://www.skills.sh/,1,0.06,0.00,0.01,9,"0, 0, 0, 0, 0, 0, 0, 0, 17, 12, 100, 5",2026-07-19,"Related searches, AI overview",informational,Organic
ex.skill,35,35,90,26,0.00,https://www.skills.sh/,0,0,0.00,0.33,108,"6, 18, 54, 6, 10, 6, 6, 6, 6, 6, 10, 100",2026-07-23,"Sitelinks, Reviews, Video, AI overview","informational, navigational",Organic
findskills,27,27,50,1,0.00,https://www.skills.sh/,0,0,0.00,0.01,89,"0, 0, 0, 0, 0, 0, 0, 0, 23, 80, 100, 52",2026-07-17,"Reviews, Video, Related searches, AI overview",informational,Organic
findskills,32,32,50,1,0.00,https://www.skills.sh/,0,0,0.00,0.01,89,"0, 0, 0, 0, 0, 0, 0, 0, 23, 80, 100, 52",2026-07-17,"Reviews, Video, Related searches, AI overview",informational,Organic
agent skils,69,69,50,50,0.00,https://www.skills.sh/,0,0,0.00,0,129,"42, 100, 71, 100, 14",2026-07-05,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
skiils,53,53,50,55,1.13,https://www.skills.sh/,0,0,0.00,0.02,126,"0, 0, 0, 0, 0, 10, 29, 0, 0, 3, 1, 36",2026-06-12,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Things to know, AI overview",informational,Organic
shadcn skills,49,49,110,21,0.00,https://www.skills.sh/,0,0,0.00,0.33,93,"0, 0, 0, 0, 0, 0, 3, 1, 11, 28, 81, 100",2026-07-04,"Reviews, Video, Related searches",informational,Organic
npx skills add vercel-labs/agent-skills,44,44,50,40,0.00,https://www.skills.sh/,0,0,0.00,0.33,101,"0, 0, 0, 0, 0, 0, 0, 0, 100, 53, 5, 0",2026-07-10,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
atvsh,62,62,320,18,0.00,https://www.skills.sh/,0,0,0.00,0.33,89,"8, 24, 5, 3, 10, 20, 30, 30, 36, 13, 100, 24",2026-06-23,"Sitelinks, Video, AI overview",navigational,Organic
c skill,57,57,30,28,5.86,https://www.skills.sh/,0,0,0.00,0.03,107,"41, 11, 11, 11, 41, 11, 52, 0, 11, 11, 0, 0",2026-07-20,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
claude skills repository,34,34,260,65,10.51,https://www.skills.sh/,0,0,0.00,0.02,105,"0, 0, 0, 0, 0, 0, 17, 11, 14, 59, 88, 100",2026-06-21,"Sitelinks, Video, People also ask, Related searches",informational,Organic
skills.marketplace,50,50,90,19,6.31,https://www.skills.sh/,0,0,0.00,0.06,129,"1, 1, 0, 1, 1, 1, 3, 8, 11, 81, 100, 0",2026-06-22,"Sitelinks, Video, Video Carousel",informational,Organic
vercel claude skills,40,40,90,33,0.00,https://www.skills.sh/,0,0,0.00,0.03,125,"0, 0, 0, 0, 0, 0, 0, 0, 100, 100, 28, 43",2026-06-28,"Sitelinks, Reviews, Video, Video Carousel, Related searches, Discussions and forums",informational,Organic
skills file,65,65,90,,14.46,https://www.skills.sh/,0,0,0.00,0.01,130,"4, 4, 4, 4, 4, 4, 4, 4, 22, 29, 54, 100",2026-07-10,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
skills file,77,77,90,,14.46,https://www.skills.sh/,0,0,0.00,0.01,130,"4, 4, 4, 4, 4, 4, 4, 4, 22, 29, 54, 100",2026-07-10,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
synthetic skills,49,49,210,0,0.00,https://www.skills.sh/,0,0,0.00,0.33,103,"54, 35, 54, 81, 29, 66, 81, 22, 8, 10, 0, 10",2026-06-04,"Video, People also ask, Related searches",navigational,Organic
awsome skills,46,46,320,45,0.00,https://www.skills.sh/,0,0,0.00,0.33,125,"0, 0, 0, 0, 0, 0, 1, 2, 6, 45, 81, 100",2026-06-22,"Sitelinks, Reviews, Video, Related searches, Discussions and forums",commercial,Organic
last30days skill,49,49,90,,14.11,https://www.skills.sh/,0,0,0.00,0.01,108,"0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 100, 100",2026-06-22,"Reviews, Video, Video Carousel, Related searches",informational,Organic
skilss,67,67,110,55,1.13,https://www.skills.sh/,0,0,0.00,0.02,130,"5, 0, 0, 10, 6, 24, 3, 0, 1, 8, 30, 24",2026-06-23,"Image pack, Video, Video Carousel, People also ask, Related searches, Things to know, AI overview",informational,Organic
vercel skills sh,23,23,90,38,0.00,https://www.skills.sh/,0,0,0.00,0.01,95,"0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0",2026-06-20,"Reviews, Video, Video Carousel, Related searches","informational, transactional",Organic
skills网站,34,34,170,50,0.00,https://www.skills.sh/,0,0,0.00,0.02,95,"3, 100, 43",2026-06-12,"Video, Related searches",commercial,Organic
ai skill taxonomy directory,97,97,40,,0.00,https://www.skills.sh/,0,0,0.00,0,111,"0, 100, 0",2026-07-07,"Reviews, Video, Related searches, Ads middle, AI overview",informational,Organic
claude skills database,47,47,70,51,11.69,https://www.skills.sh/,0,0,0.00,0.05,127,"0, 0, 0, 0, 0, 2, 0, 5, 12, 43, 100, 53",2026-07-05,"Sitelinks, Reviews, Video, Ads top, Ads bottom, Related searches",informational,Organic
skills software,94,94,70,20,6.42,https://www.skills.sh/,0,0,0.00,0.05,135,"6, 2, 1, 2, 2, 5, 19, 5, 44, 1, 5, 2",2026-06-20,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
machine learning skills directory,73,73,210,43,0.00,https://www.skills.sh/,0,0,0.00,0,137,"65, 100",2026-06-09,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
machine learning skills directory,87,87,210,43,0.00,https://www.skills.sh/,0,0,0.00,0,137,"65, 100",2026-06-09,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
expo skills,48,48,90,,0.00,https://www.skills.sh/,0,0,0.00,0.33,93,"5, 5, 5, 0, 5, 5, 5, 5, 5, 53, 82, 100",2026-06-25,Video,informational,Organic
expo skills,49,49,90,,0.00,https://www.skills.sh/,0,0,0.00,0.33,93,"5, 5, 5, 0, 5, 5, 5, 5, 5, 53, 82, 100",2026-06-25,Video,informational,Organic
claude skills website,55,55,40,41,0.00,https://www.skills.sh/,0,0,0.00,0.04,99,"0, 0, 0, 0, 0, 0, 0, 5, 5, 7, 100, 5",2026-07-12,"Sitelinks, Video, Ads top, Ads bottom, Video Carousel, Related searches, AI overview","commercial, informational",Organic
npx add skill,55,55,50,28,0.00,https://www.skills.sh/,0,0,0.00,0.33,121,"0, 0, 0, 0, 0, 0, 0, 0, 100, 65, 65, 7",2026-07-10,"Reviews, Video, Video Carousel, Related searches, AI overview",informational,Organic
skill skill skill,67,67,140,54,0.00,https://www.skills.sh/,0,0,0.00,0.33,130,"42, 26, 15, 26, 53, 65, 80, 53, 80, 65, 80, 100",2026-07-27,"Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
allskill,68,68,50,22,0.00,https://www.skills.sh/,0,0,0.00,0.33,100,"0, 0, 0, 0, 0, 34, 100, 0, 6, 43, 6, 0",2026-06-28,"Video, Related searches",informational,Organic
allskill,78,78,50,22,0.00,https://www.skills.sh/,0,0,0.00,0.33,100,"0, 0, 0, 0, 0, 34, 100, 0, 6, 43, 6, 0",2026-06-28,"Video, Related searches",informational,Organic
claude skills site,61,61,70,48,0.00,https://www.skills.sh/,0,0,0.00,0.03,127,"0, 0, 0, 0, 0, 0, 0, 0, 100, 100, 100, 9",2026-07-08,"Sitelinks, Video, Video Carousel, Related searches",informational,Organic
trae skills,49,49,90,31,4.67,https://www.skills.sh/,0,0,0.00,0.16,107,"0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 100, 66",2026-06-22,"Video, Related searches",informational,Organic
.skill file,74,74,140,36,14.46,https://www.skills.sh/,0,0,0.00,0.01,129,"2, 17, 23, 100",2026-06-30,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
skill files,18,18,70,53,14.46,https://www.skills.sh/,0,0,0.00,0.01,136,"0, 2, 2, 0, 0, 0, 2, 0, 12, 17, 66, 100",2026-07-19,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
skill files,66,66,70,53,14.46,https://www.skills.sh/,0,0,0.00,0.01,136,"0, 2, 2, 0, 0, 0, 2, 0, 12, 17, 66, 100",2026-07-19,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
skill files,70,70,70,53,14.46,https://www.skills.sh/,0,0,0.00,0.01,136,"0, 2, 2, 0, 0, 0, 2, 0, 12, 17, 66, 100",2026-07-19,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
skill files,86,86,70,53,14.46,https://www.skills.sh/,0,0,0.00,0.01,136,"0, 2, 2, 0, 0, 0, 2, 0, 12, 17, 66, 100",2026-07-19,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
agent skills standard,52,52,90,50,0.00,https://www.skills.sh/,0,0,0.00,0.02,123,"0, 0, 0, 0, 0, 0, 0, 35, 43, 28, 100, 43",2026-07-19,"Sitelinks, Video, Related searches, AI overview",navigational,Organic
skills.sh github,25,25,110,45,0.00,https://www.skills.sh/,0,0,0.00,0.33,34,"0, 0, 0, 0, 0, 0, 0, 0, 28, 44, 44, 100",2026-07-20,"Sitelinks, Related searches","navigational, transactional",Organic
find-skills,37,37,320,23,5.82,https://www.skills.sh/,0,0,0.00,0.01,123,"1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 84, 100",2026-06-03,"Sitelinks, Video, People also ask, Related searches",informational,Organic
skills plugin,52,52,90,28,0.00,https://www.skills.sh/,0,0,0.00,0.33,124,"2, 2, 2, 100, 2, 2, 2, 2, 2, 2, 19, 2",2026-06-29,"Sitelinks, Reviews, Video, Image, Video Carousel, People also ask, Related searches, AI overview",commercial,Organic
.skills,43,43,320,58,0.96,https://www.skills.sh/,0,0,0.00,0.03,130,"82, 53, 43, 82, 100, 82, 82, 82, 100, 100, 100, 100",2026-07-03,"Knowledge panel, Video, Video Carousel, People also ask, Things to know, AI overview",informational,Organic
vercel-labs/agent-skills,31,31,1000,53,7.18,https://www.skills.sh/,0,0,0.00,0.03,96,"100, 16, 8, 7",2026-07-26,"Sitelinks, Reviews, Video, Video Carousel, Related searches, AI overview",informational,Organic
agentskill.sh,44,44,30,47,3.89,https://www.skills.sh/,0,0,0.00,0.05,1080000,"0, 0, 0, 0, 0, 9, 9, 27, 100, 100, 100, 0",2026-07-20,"Sitelinks, Video, Video Carousel",informational,Organic
agentskill.sh,52,52,30,47,3.89,https://www.skills.sh/,0,0,0.00,0.05,1080000,"0, 0, 0, 0, 0, 9, 9, 27, 100, 100, 100, 0",2026-07-20,"Sitelinks, Video, Video Carousel",informational,Organic
agent browser skill,55,55,90,44,8.33,https://www.skills.sh/,0,0,0.00,0.03,126,"0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19, 100",2026-06-22,"Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
skill library,69,69,40,32,4.59,https://www.skills.sh/,0,0,0.00,0.01,135,"44, 33, 55, 55, 55, 22, 22, 22, 11, 44, 11, 100",2026-07-21,"Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
claude skill directory,44,44,90,29,17.87,https://www.skills.sh/,0,0,0.00,0.02,135,"0, 0, 0, 0, 0, 0, 35, 22, 6, 6, 43, 100",2026-06-22,"Sitelinks, Reviews, Video, Ads bottom, Video Carousel, Related searches",informational,Organic
skills standard,85,85,110,32,0.00,https://www.skills.sh/,0,0,0.00,0.01,127,"15, 100, 100, 26, 15, 53, 15, 26, 15, 15, 42, 65",2026-06-24,"Sitelinks, Video, Video Carousel, Related searches, AI overview","informational, navigational",Organic
find skill,32,32,260,9,5.82,https://www.skills.sh/,0,0,0.00,0.01,112,"0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 68, 100",2026-06-05,"Sitelinks, Video, People also ask, Related searches",informational,Organic
skills store,57,57,50,32,0.00,https://www.skills.sh/,0,0,0.00,0.33,105,"17, 17, 52, 0, 0, 0, 0, 23, 64, 82, 100, 64",2026-07-21,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
vercel skills,34,34,1000,42,12.97,https://www.skills.sh/,0,0,0.00,0.02,97,"0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 66, 100",2026-06-04,"Sitelinks, Video, Video Carousel, Related searches, Discussions and forums","informational, transactional",Organic
sskills,63,63,50,66,0.96,https://www.skills.sh/,0,0,0.00,0.03,130,"0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0",2026-07-26,"Image pack, Video, Video Carousel, People also ask, Related searches, Things to know, AI overview",informational,Organic
system skills,64,64,70,50,0.00,https://www.skills.sh/,0,0,0.00,0.33,134,"100, 50, 100, 35, 78, 50, 28, 14, 14, 14, 14, 14",2026-07-04,"Knowledge panel, Image pack, Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview","informational, navigational",Organic
skill server,65,68,210,27,0.26,https://www.skills.sh/,0,0,0.00,0.03,113,"0, 0, 0, 14, 2, 48, 39, 26, 3, 0, 48, 48",2026-07-27,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
cosine sh,59,59,50,27,3.10,https://www.skills.sh/,0,0,0.00,0.22,0,"5, 5, 5, 5, 5, 5, 5, 5, 100, 5, 5, 5",2026-06-11,"Sitelinks, Reviews, Video, Ads bottom, Video Carousel, Related searches",navigational,Organic
vercel react skills,56,56,40,45,0.00,https://www.skills.sh/,0,0,0.00,0.02,92,"0, 0, 0, 0, 0, 0, 0, 0, 100, 52, 80, 9",2026-07-12,"Sitelinks, Reviews, Video, Related searches, Short videos",commercial,Organic
agent skills,70,70,4400,52,3.89,https://www.skills.sh/,0,0,0.00,0.05,122,"0, 0, 0, 0, 0, 23, 10, 23, 100, 100, 100, 81",2026-07-22,"Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
context7 skills,64,64,70,37,0.00,https://www.skills.sh/,0,0,0.00,0.02,93,"0, 0, 0, 0, 0, 0, 6, 6, 100, 65, 53, 65",2026-07-01,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
shadcn skill,42,42,70,26,8.26,https://www.skills.sh/,0,0,0.00,0.01,84,"0, 0, 0, 0, 0, 0, 3, 6, 3, 100, 53, 65",2026-07-05,"Reviews, Video Carousel, Related searches","informational, transactional",Organic
skills library,80,85,260,22,4.59,https://www.skills.sh/,0,0,0.00,0.01,134,"43, 53, 43, 66, 82, 53, 35, 53, 100, 100, 100, 82",2026-07-27,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,Organic
skills agents,57,57,170,,5.01,https://www.skills.sh/,0,0,0.00,0.05,123,"0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 100, 45",2026-06-10,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
skills agents,73,73,170,,5.01,https://www.skills.sh/,0,0,0.00,0.05,123,"0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 100, 45",2026-06-10,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
skills database,72,72,170,22,4.60,https://www.skills.sh/,0,0,0.00,0.33,137,"28, 17, 23, 35, 43, 66, 53, 66, 53, 53, 53, 66",2026-06-24,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
app skills,47,47,210,50,0.08,https://www.skills.sh/,0,0,0.00,0.19,125,"0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0",2026-07-07,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
app skills,51,51,210,50,0.08,https://www.skills.sh/,0,0,0.00,0.19,125,"0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0",2026-07-07,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
skills ft,65,65,170,37,0.00,https://www.skills.sh/,0,0,0.00,0.33,116,"53, 53, 34, 26, 42, 53, 80, 65, 100, 65, 80, 65",2026-07-04,"Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
skills ft,74,74,170,37,0.00,https://www.skills.sh/,0,0,0.00,0.33,116,"53, 53, 34, 26, 42, 53, 80, 65, 100, 65, 80, 65",2026-07-04,"Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
openskill,74,74,170,37,0.00,https://www.skills.sh/,0,0,0.00,0.33,105,"22, 4, 54, 4, 4, 4, 14, 54, 81, 43, 100, 43",2026-07-07,"Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
skillweed,80,80,40,31,9.28,https://www.skills.sh/,0,0,0.00,0.13,5270,"42, 33, 23, 33, 33, 33, 9, 9, 9, 9, 9, 9",2026-06-17,"Sitelinks, Reviews, Video, Ads bottom, Video Carousel, Related searches, Short videos",navigational,Organic
skill anatomy,81,81,70,35,0.52,https://www.skills.sh/,0,0,0.00,0.34,116,"3, 18, 1, 1, 8, 54, 6, 3, 3, 8, 5, 3",2026-07-08,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
dbt agent skills,68,68,260,23,0.00,https://www.skills.sh/,0,0,0.00,0,99,"81, 100",2026-06-06,"Sitelinks, Video, Ads bottom, Video Carousel, Related searches, Discussions and forums",commercial,Organic
skill 商店,38,38,140,19,0.00,https://www.skills.sh/,0,0,0.00,0.33,77,"82, 82, 52, 41, 82, 100, 82, 82, 82, 100, 100, 11",2026-06-16,"Video, Related searches, AI overview",informational,Organic
agent skills library,37,37,70,59,5.69,https://www.skills.sh/,0,0,0.00,0.06,101,"0, 0, 0, 0, 0, 0, 0, 9, 100, 100, 80, 80",2026-07-05,"Sitelinks, Video, Related searches",informational,Organic
skillscore,66,66,40,11,0.00,https://www.skills.sh/,0,0,0.00,0.01,109,"64, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 64",2026-07-09,"Sitelinks, Video, Related searches",navigational,Organic
.skill,46,46,90,59,0.96,https://www.skills.sh/,0,0,0.00,0.03,55,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100",2026-07-22,"Knowledge panel, Reviews, Video, People also ask, Things to know",informational,Organic
kernel sh,51,51,140,42,0.00,https://www.skills.sh/,0,0,0.00,0.33,142,"1, 0, 5, 0, 5, 0, 0, 1, 5, 81, 100, 44",2026-07-14,"Sitelinks, Video, Related searches",navigational,Organic
superset sh,51,51,110,43,0.00,https://www.skills.sh/,0,0,0.00,0.01,0,"0, 0, 0, 0, 0, 0, 0, 2, 66, 43, 100, 100",2026-07-04,"Sitelinks, Reviews, Video, Video Carousel, Related searches",navigational,Organic
ai skill directory platforms,36,36,260,9,0.00,https://www.skills.sh/,0,0,0.00,0,132,"0, 100",2026-06-06,"Sitelinks, Video, Ads bottom, Related searches, AI overview",informational,Organic
skill marketplace,56,56,320,29,4.37,https://www.skills.sh/,0,0,0.00,0.04,130,"5, 8, 0, 0, 0, 0, 0, 13, 100, 55, 67, 67",2026-07-19,"Sitelinks, Video, Related searches, AI overview",informational,Organic
dia browser skills,46,46,70,48,0.00,https://www.skills.sh/,0,0,0.00,0.33,112,"0, 64, 100, 11, 11, 11, 11, 11, 100, 64, 11, 11",2026-07-06,"Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
agent skills marketplace,42,42,320,26,3.44,https://www.skills.sh/,0,0,0.00,0.19,132,"0, 0, 0, 0, 0, 0, 0, 0, 3, 76, 100, 100",2026-06-20,"Sitelinks, Video, Related searches",informational,Organic
awesome skill,52,52,260,75,0.00,https://www.skills.sh/,0,0,0.00,0.33,133,"0, 0, 0, 0, 0, 0, 2, 3, 8, 55, 100, 100",2026-06-22,"Sitelinks, Reviews, Video, Related searches",informational,Organic
agent skill,71,71,1900,45,3.89,https://www.skills.sh/,0,0,0.00,0.05,130,"0, 0, 0, 0, 0, 4, 1, 24, 36, 100, 24, 10",2026-07-23,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
skills agent,74,74,480,36,5.01,https://www.skills.sh/,0,0,0.00,0.05,125,"0, 0, 0, 0, 0, 1, 2, 5, 1, 30, 44, 100",2026-06-24,"Sitelinks, Video, Related searches",informational,Organic
skilled agent,73,73,30,32,5.01,https://www.skills.sh/,0,0,0.00,0.05,132,"11, 11, 0, 11, 0, 23, 41, 100, 0, 0, 0, 0",2026-06-24,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
openskills,62,62,590,34,8.63,https://www.skills.sh/,0,0,0.00,0.03,128,"3, 2, 3, 3, 5, 7, 25, 31, 100, 46, 52, 37",2026-07-14,"Video, Image, Related searches, AI overview",informational,Organic
code skills,66,66,50,34,3.54,https://www.skills.sh/,0,0,0.00,0.09,131,"0, 0, 0, 11, 11, 26, 0, 3, 100, 7, 3, 53",2026-07-19,"Sitelinks, Video, Video Carousel, Related searches, AI overview","commercial, informational",Organic
versel skills,36,36,720,48,0.00,https://www.skills.sh/,0,0,0.00,0,95,"100, 0, 0",2026-07-23,"Sitelinks, Reviews, Video, Related searches",commercial,Organic
vercel labs skills,37,37,70,40,4.23,https://www.skills.sh/,0,0,0.00,0.02,0,"0, 0, 0, 0, 0, 0, 0, 0, 100, 65, 34, 34",2026-07-19,"Sitelinks, Reviews, Video, Video Carousel, Related searches",navigational,Organic
z skill,54,54,110,19,0.00,https://www.skills.sh/,0,0,0.00,0.33,100,"18, 18, 35, 18, 15, 18, 11, 18, 18, 15, 15, 23",2026-07-18,"Knowledge panel, Reviews, Video, Image, Related searches",informational,Organic
skill synthesis,66,66,70,27,0.00,https://www.skills.sh/,0,0,0.00,0.33,117,"45, 81, 81, 63, 63, 100, 45, 45, 63, 63, 63, 63",2026-06-11,"Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
last 30 days skill,55,55,110,7,0.00,https://www.skills.sh/,0,0,0.00,0.33,101,"0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 44, 100",2026-06-20,"Sitelinks, Reviews, Video, Video Carousel, Related searches, AI overview",navigational,Organic
thomas skill,66,66,50,18,0.00,https://www.skills.sh/,0,0,0.00,0.33,107,"11, 100, 64, 11, 11, 64, 82, 23, 11, 11, 11, 11",2026-07-05,"Image pack, Video, Image",informational,Organic
ai agent skills,58,58,480,37,3.94,https://www.skills.sh/,0,0,0.00,0.29,109,"1, 0, 3, 8, 1, 1, 1, 10, 100, 100, 100, 100",2026-07-01,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
