Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
code simplifier skill,57,57,110,38,8.85,https://skillsmp.com/,0,0,0.00,0.09,97,"0, 0, 0, 0, 0, 0, 0, 0, 100, 29, 100, 4",2026-07-16,"Reviews, Video, Related searches, AI overview",informational,Organic
zerobus databricks,61,61,170,36,12.38,https://skillsmp.com/creators/databricks-solutions/ai-dev-kit/databricks-skills-databricks-zerobus-ingest,0,0,0.00,0.11,88,"0, 65, 34, 53, 34, 34, 34, 34, 53, 100, 81, 65",2026-06-26,"Sitelinks, Reviews, Video, Image, People also ask, Related searches",informational,Organic
skills.marketplace,43,43,90,19,6.31,https://skillsmp.com/about,0,0,0.00,0.06,129,"1, 1, 0, 1, 1, 1, 3, 8, 11, 81, 100, 0",2026-06-22,"Sitelinks, Video, Video Carousel",informational,Organic
skill finder,73,73,90,16,2.03,https://skillsmp.com/,0,0,0.00,0.06,132,"10, 14, 8, 10, 10, 10, 10, 14, 10, 10, 22, 100",2026-06-06,"Video, People also ask, Related searches, AI overview",informational,Organic
nvim configure,44,44,140,35,0.00,https://skillsmp.com/creators/wcygan/dotfiles/claude-skills-nvim-config,0,0,0.00,0.33,108,"7, 14, 7, 21, 11, 14, 11, 14, 39, 14, 17, 9",2026-07-25,"Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
skills file,66,66,90,,14.46,https://skillsmp.com/,0,0,0.00,0.01,130,"4, 4, 4, 4, 4, 4, 4, 4, 22, 29, 54, 100",2026-07-10,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
skills file,76,76,90,,14.46,https://skillsmp.com/,0,0,0.00,0.01,130,"4, 4, 4, 4, 4, 4, 4, 4, 22, 29, 54, 100",2026-07-10,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
pubchempy,65,65,110,8,0.00,https://skillsmp.com/creators/microck/ordinary-claude-skills/skills-categorized-scientific-computing-claude-scientific-skills-scientific-skills-pubchem-database,0,0,0.00,0.33,106,"28, 43, 53, 34, 28, 43, 28, 34, 28, 28, 21, 21",2026-07-15,"Video, Image, Related searches, AI overview",navigational,Organic
claude skills market,3,3,50,23,7.75,https://skillsmp.com/,0,0,0.00,0.08,78,"0, 0, 0, 0, 0, 5, 5, 5, 7, 5, 100, 5",2026-07-12,"Video, People also ask, Related searches, AI overview",informational,AI overview
attendance_update_grades scheduled task,24,24,50,15,0.00,https://skillsmp.com/skills/krual-t-lifekernel-codex-skills-windows-task-scheduler-reminders-skill-md,0,0,0.00,0,4050000,"45, 100, 9, 0",2026-06-14,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
last30days skill,53,53,90,,14.11,https://skillsmp.com/,0,0,0.00,0.01,108,"0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 100, 100",2026-06-22,"Reviews, Video, Video Carousel, Related searches",informational,Organic
mit engaging cluster,22,22,260,29,0.00,https://skillsmp.com/creators/mcox3406/claude-comp-chem-skills/engaging,0,0,0.00,0.33,108,"54, 35, 29, 29, 81, 81, 100, 22, 66, 29, 35, 29",2026-07-02,"Video, Related searches","navigational, transactional",Organic
what is aks monitoring,70,70,40,9,0.00,https://skillsmp.com/skills/pauldotyu-aks-skills-aks-monitoring-skill-md,0,0,0.00,0,136,"57, 42, 42, 57, 57, 71, 100, 71, 71",2026-06-12,"Sitelinks, Video, Ads top, Ads bottom, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
claude simplify skill,64,64,50,19,11.90,https://skillsmp.com/,0,0,0.00,0.04,95,"0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 100, 35",2026-07-12,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
calude skilss,29,29,880,51,0.00,https://skillsmp.com/,0,0,0.00,0,124,"100, 0",2026-07-22,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
calude skilss,46,46,880,51,0.00,https://skillsmp.com/,0,0,0.00,0,124,"100, 0",2026-07-22,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
calude skilss,49,49,880,51,0.00,https://skillsmp.com/,0,0,0.00,0,124,"100, 0",2026-07-22,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
claude.skills,62,62,50,44,8.64,https://skillsmp.com/,0,0,0.00,0.06,123,"0, 0, 0, 0, 0, 0, 1, 1, 3, 1, 100, 1",2026-07-05,"Sitelinks, Video, Video Carousel, People also ask",informational,Organic
skills software,93,93,70,20,6.42,https://skillsmp.com/,0,0,0.00,0.05,135,"6, 2, 1, 2, 2, 5, 19, 5, 44, 1, 5, 2",2026-06-20,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
llm skills,59,59,140,35,5.63,https://skillsmp.com/,0,0,0.00,0.02,115,"2, 2, 2, 2, 2, 2, 2, 2, 23, 15, 81, 100",2026-06-24,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
ase atomic,67,67,70,30,0.00,https://skillsmp.com/creators/jkitchin/skillz/skills-programming-python-ase,0,0,0.00,0.33,109,"64, 64, 41, 41, 41, 52, 41, 29, 41, 41, 41, 41",2026-06-25,"Image pack, Sitelinks, Video, Related searches",informational,Organic
machine learning skills directory,78,78,210,43,0.00,https://skillsmp.com/,0,0,0.00,0,137,"65, 100",2026-06-09,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
machine learning skills directory,85,85,210,43,0.00,https://skillsmp.com/,0,0,0.00,0,137,"65, 100",2026-06-09,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
github sub issues,53,53,50,53,0.00,https://skillsmp.com/skills/codekiln-langstar-claude-skills-gh-sub-issue-skill-md,0,0,0.00,0.05,108,"28, 21, 21, 21, 15, 21, 28, 15, 15, 21, 9, 12",2026-06-16,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",navigational,Organic
cloudagencys.com product documentation features,28,28,40,6,0.00,https://skillsmp.com/skills/vneseyoungster-chocovine-claude-skills-documentation-project-documentation-skill-md,0,0,0.00,0,5560000,"100, 0",2026-07-02,"Reviews, Video, AI overview",informational,Organic
skill skill skill,68,68,140,54,0.00,https://skillsmp.com/,0,0,0.00,0.33,130,"42, 26, 15, 26, 53, 65, 80, 53, 80, 65, 80, 100",2026-07-27,"Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
.claude/skills,61,61,70,45,8.64,https://skillsmp.com/,0,0,0.00,0.06,125,"0, 0, 0, 0, 0, 3, 1, 1, 5, 6, 100, 44",2026-07-05,"Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
de skill,75,75,210,43,0.00,https://skillsmp.com/,0,0,0.00,0.33,112,"23, 23, 19, 10, 15, 36, 15, 4, 15, 100, 19, 44",2026-06-22,"Sitelinks, Reviews, Video, People also ask, AI overview",informational,Organic
