Groups,Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
"list,mcp,tool",mcp list tools,Informational,320,"1.00,1.00,0.48,0.59,0.21,0.17,0.02,0.02,0.07,0.07,0.09,0.07",40,4.91,0.06,"Sitelinks, AI Overview, Reviews, Image, Video, Discussions and forums, Related searches",131
"ai,best,mcp,servers,tool",best mcp servers ai tools,,260,1.00,,0.00,0.00,,
"build,container,docker,images,list,mcp,name,run,server,tool",mcp server docker tools list_containers run_container build_image tool names,,260,1.00,,0.00,0.00,,
"context,document,mcp,model,protocol,retry,stating,tool",model context protocol mcp retries stateful tools documentation,,260,1.00,,0.00,0.00,,
"create,mcp,name,notion,page,search,server,tool,update",notion mcp server tool names search_pages create_page update_page,,260,1.00,,0.00,0.00,,
"browser,mcp,tool",browser-tools mcp,Commercial,210,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",53,0.00,0.00,"Reviews, Video, People also ask, Discussions and forums, Related searches",128
"get,issues,list,mcp,name,resolve,sentry,server,tool",mcp server sentry tools list_issues resolve_issue get_issue tool names,,210,1.00,,0.00,0.00,,
"1880,1881,author,field,mcp,scope,sep,specs,tool",mcp spec sep-1880 sep-1881 authorization field tool scopes,Informational,210,"1.00,0.52",29,0.00,0.00,"Sitelinks, Video, People also ask, Related searches",5120
"mcp,roblox,tool",roblox mcp tool,"Navigational, Transactional",210,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00",42,0.00,0.01,"Video, Video carousel, Related searches",92
"browser,mcp,tool",browser tool mcp,Informational,170,"0.83,0.50,0.50,0.50,0.00,0.00,1.00,0.00,0.00,0.00,0.50,0.00",40,9.75,0.03,"Video, Discussions and forums, Related searches, Ads bottom",59700000
"cursor,mcp,prompt,tool",cursor mcp no tools or prompts,Informational,170,"0.00,0.00,0.54,1.00,0.54,0.02,0.02,0.00,0.02,0.02,0.02,0.00",26,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches",5400000
"call,langchain,mcp,tool,和,的区别",langchain tool-calling 和 mcp 的区别,Commercial,170,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",8,0.00,0.00,"Sitelinks, AI Overview, Related searches",93
"browser,mcp,tool",mcp browser tools,Informational,170,"0.53,1.00,0.66,0.22,0.09,0.13,0.09,0.09,0.09,0.13,0.06,0.06",50,0.00,0.03,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches",122
"deferred,load,mcp,mechanical,tool",mcp deferred loading tools mechanism,Informational,170,"1.00,0.23",24,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches",3670000
"inspector,mcp,tool",mcp inspector tool,Informational,170,"0.65,0.34,0.53,0.34,1.00,0.43,0.34,0.28,0.65,0.53,0.81,0.81",24,8.29,0.09,"Image, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches",123
"mcp,server,tool",mcp server tools,Informational,170,"0.53,0.66,1.00,0.43,0.43,0.28,0.23,0.28,0.35,0.28,0.53,0.35",68,5.71,0.30,"Sitelinks, AI Overview, Video, People also ask, Related searches, Ads bottom",128
"cursor,mcp,tool",cursor mcp tools,Informational,140,"0.03,1.00,0.28,0.18,0.18,0.35,0.11,0.11,0.15,0.08,0.08,0.06",45,0.00,0.02,"Sitelinks, Video, People also ask, Discussions and forums, Related searches, Ads top, Ads bottom",117
"context,marketplace,mcp,model,protocol,tool",mcp model context protocol tools marketplace,,140,"0.15,1.00",,0.00,0.00,,
"client,mcp,n8n,tool",n8n mcp client tool,"Informational, Transactional",140,"0.15,0.11,0.15,1.00,0.66,0.66,0.18,0.11,0.06,0.03,0.03,0.03",33,0.00,0.14,"AI Overview, Image pack, Video, Video carousel, Related searches",766000
"mcp,tool",what are mcp tools,Informational,140,"0.65,0.65,0.42,0.65,0.42,0.65,0.42,0.34,0.53,0.80,1.00,0.80",44,1.63,0.13,"AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",131
"aws,lambda,mcp,server,tool",aws lambda tool mcp server,Informational,110,"0.05,0.44,1.00,0.66,0.05,0.05,0.03,0.03,0.03,0.03,0.08,0.03",58,0.00,0.00,"Sitelinks, Video, Video carousel, People also ask, Related searches",127
"call,mcp,tool,vs",mcp vs tool calling,"Informational, Commercial",110,"0.65,1.00,1.00,0.65,0.65,0.53,0.53,0.29,0.41,0.65,0.65,0.53",26,0.00,0.01,"Sitelinks, AI Overview, Image, Video, Short videos, Discussions and forums, Related searches",55600000
"client,document,mcp,n8n,tool",n8n mcp client tool documentation,"Informational, Transactional",110,"0.07,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",41,0.00,0.00,"Sitelinks, Video, Video carousel, Related searches",102
"client,mcp,n8n,node,tool",n8n mcp client tool node,Informational,110,"0.28,0.23,0.53,1.00,0.05,0.66,0.28,0.05,0.05,0.05,0.05,0.00",30,0.00,0.33,"Video, Video carousel, Discussions and forums, Related searches",104
"browser,cursor,mcp,tool",browser tools mcp cursor,Informational,90,"0.53,1.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05",18,0.00,0.33,"Video, Video carousel, People also ask, Related searches",123
"github,mcp,tool",github mcp tools,Navigational,90,"0.26,0.18,0.82,0.82,0.82,0.62,1.00,0.18,1.00,0.82,0.18,0.62",45,0.00,0.01,"Sitelinks, Reviews, Video, Discussions and forums, Related searches",106
"mcp,prompt,resources,tool",mcp resources tools prompts,Informational,90,"1.00,0.12,0.12,0.12,0.12,0.12,0.05,0.00,0.05,0.05,0.05,0.05",15,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads top, Ads bottom",133
"mcp,obsidian,tool",obsidian-mcp-tools,,90,"0.03,0.03,0.03,0.03,0.03,1.00,0.03,0.81,0.06,0.03,1.00,0.65",,0.00,0.01,,
"anthropic,mcp,tool",anthropic mcp tools,"Informational, Transactional",70,"0.50,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.21",64,0.00,0.06,"Video, Video carousel, Discussions and forums, Related searches",170
"claude,code,mcp,tool",claude code mcp tools,Informational,70,"0.29,0.52,0.11,0.11,0.11,0.52,0.29,0.52,1.00,0.29,0.52,0.11",53,0.00,0.04,"Sitelinks, AI Overview, Video, Related searches",108
"claude,desktop,mcp,tool",claude desktop mcp tools,Informational,70,"1.00,0.14,0.09,0.09,0.09,1.00,0.33,0.33,0.09,0.09,0.09,0.09",26,0.00,0.06,"Sitelinks, AI Overview, Video, Video carousel, Related searches",165
"2025,dashboard,datadog,get,list,logo,mcp,monitor,name,server,tool",datadog mcp server tools list_monitors get_logs list_dashboards tool names 2025,,70,1.00,,0.00,0.00,,
"dev,mcp,tool",dev tools mcp,"Informational, Commercial",70,"0.23,0.64,0.23,1.00,0.11,1.00,0.11,0.11,0.11,0.11,1.00,1.00",65,10.97,0.06,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches",125
"mcp,resources,tool,vs",mcp resource vs tool,Commercial,70,"0.65,0.65,1.00,0.83,0.11,0.11,0.11,0.11,0.11,0.18,0.24,0.11",14,0.00,0.04,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches",97
"describe,list,mcp,name,parameters,postgres,query,server,table,tool",mcp server postgres tools query list_tables describe_table tool names parameters,,70,1.00,,0.00,0.00,,
"mcp,resources,tool,vs",mcp tool vs resource,"Informational, Commercial",70,"0.08,1.00,0.08,0.08,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04",17,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches",124
"list,mcp,tool",mcp tools list,Informational,70,"0.04,0.42,0.42,1.00,0.52,0.80,0.09,0.09,0.80,0.42,0.33,0.14",45,2.12,0.07,"Sitelinks, AI Overview, Video, Related searches, Ads bottom",60000000
"mcp,tool",mcp.tool,Informational,70,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.01,0.01,0.06,0.05,0.09",50,4.50,0.10,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask",187
"atlassian,mcp,server,tool",atlassian mcp server tools,,50,"0.00,0.00,0.29,0.52,0.11,1.00,0.11,0.11,0.41,0.11,1.00,0.11",,0.00,0.04,,
"dev,mcp,server,tool",dev tools mcp server,,50,"0.00,0.00,0.00,0.00,0.64,0.28,1.00,0.78,0.14,1.00,0.14,0.14",,0.00,0.21,,
"figma,mcp,tool",figma mcp tools,,50,"0.05,0.11,0.23,0.11,0.11,0.11,0.11,0.11,0.11,0.64,0.64,1.00",,8.12,0.03,,
"github,mcp,server,tool",github mcp server tools,"Navigational, Transactional",50,"0.00,0.14,1.00,0.14,0.14,1.00,0.50,0.28,0.35,0.14,0.35,0.14",43,0.00,0.02,"Sitelinks, Reviews, Video, Discussions and forums, Related searches",106
"mcp,tool,use",how to use mcp tools,,50,"0.28,0.28,0.14,0.28,0.64,1.00,0.28,0.14,0.14,1.00,0.14,0.14",,0.00,0.11,,
"list,mcp,tool",list tools mcp,,50,"1.00,0.11,1.00,0.23,0.11,0.11,0.23,0.23,0.41,0.11,0.23,0.11",,0.00,0.06,,
"call,llm,mcp,tool,vs",llm tool calling vs mcp,,50,"0.14,0.14,0.14,0.14,1.00,0.42,0.14,0.23,0.23,0.14,0.09,0.09",,0.00,0.04,,
"mcp,search,tool",mcp search tools,,50,"0.28,0.14,0.78,0.14,0.78,0.14,1.00,0.28,0.14,0.14,0.14,0.14",,4.56,0.25,,
"load,mcp,server,strategy,subset,tool",mcp server tool subset loading strategies,,50,1.00,,0.00,0.00,,
"mcp,server,tool,vs",mcp server vs tools,,50,"0.23,0.11,0.64,1.00,0.11,0.23,0.11,0.11,0.64,0.11,0.11,0.11",,0.00,0.01,,
"ai,mcp,tool",mcp tool ai,,50,"0.14,0.78,0.78,0.14,0.50,0.14,0.14,0.28,1.00,0.14,0.14,0.14",,0.00,0.24,,
"call,mcp,tool",mcp tool calls,,50,"0.50,1.00,1.00,0.14,0.28,0.78,0.28,0.14,0.14,0.14,0.14,0.14",,0.00,0.02,,
"mcp,search,tool",mcp tool search,,50,"0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,1.00,0.52,1.00,0.33",,4.68,0.04,,
"connector,date,integration,mcp,tool",mcp tools data integration connectors,,50,"0.22,1.00",,0.00,0.00,,
"mcp,prompt,resources,tool",mcp tools resources prompts,Informational,50,"0.00,0.78,1.00,0.14,0.64,0.64,0.64,0.14,0.14,0.35,0.35,0.14",12,4.15,0.08,"Sitelinks, Video, Video carousel, Related searches",133
"mcp,tool,vs",mcp vs tools,,50,"0.00,0.11,0.00,0.00,0.00,0.11,0.11,0.00,1.00,1.00,0.64,0.64",,1.48,0.03,,
"mcp,obsidian,tool",obsidian mcp tools,Informational,50,"0.04,0.04,0.04,0.04,0.19,0.80,0.09,1.00,0.09,0.09,0.52,0.80",22,0.00,0.02,"Sitelinks, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches",188
"mcp,openai,tool",openai mcp tool,,50,"0.64,0.11,0.11,0.11,0.23,0.52,1.00,0.11,0.11,0.11,0.11,0.11",,0.00,0.29,,
"mcp,tool",what is an mcp tool,,50,"0.00,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.52,0.52,0.52,1.00",,1.55,0.04,,
"mcp,tool",what is mcp tools,,50,"0.11,0.11,0.11,0.52,0.11,0.11,0.11,0.11,0.11,0.11,0.64,1.00",,2.03,0.10,,
"anthropic,mcp,tool,use,vs",anthropic tool use vs mcp,,40,1.00,,0.00,0.00,,
"available,mcp,tool",available mcp tools,,40,"0.41,0.11,0.11,0.11,0.11,0.23,0.11,1.00,0.52,0.11,0.11,0.11",,0.00,0.71,,
"azure,mcp,server,tool",azure mcp server tools,,40,"0.00,0.00,0.11,1.00,0.11,0.82,0.11,0.11,0.11,0.11,0.11,0.11",,0.00,0.33,,
"best,development,generator,mcp,tool",best developer tools for mcp generation,"Informational, Commercial",40,"1.00,0.42,0.00,0.00,0.00,0.00,0.00",19,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches, Ads bottom, Ads middle",140
"chatgpt,mcp,tool",chatgpt mcp tools,,40,"0.14,0.14,0.64,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14",,0.00,0.14,,
"allowed,claude,code,mcp,tool",claude code allow all mcp tools,,40,"0.00,0.00,1.00,0.11,0.11,0.52,0.11,0.11,0.11,0.11,0.11,0.11",,0.00,0.33,,
"claude,context,large,mcp,tool",claude large mcp tools context,,40,"0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.11,0.11,0.82,1.00,0.11",,0.00,0.33,,
"claude,mcp,tool",claude mcp tool,,40,"0.11,0.11,0.11,0.11,0.52,0.11,0.11,0.11,0.11,0.64,1.00,0.00",,6.85,0.13,,
"claude,mcp,tool",claude mcp tools,,40,"0.00,0.00,0.18,0.18,0.18,0.63,0.36,0.36,0.63,1.00,0.81,0.45",,6.85,0.13,,
"context7,mcp,tool",context7 mcp tools,,40,"0.00,0.18,1.00,0.63,0.18,0.18,0.18,1.00,0.36,0.18,0.63,0.18",,0.00,0.10,,
"error,mcp,run,shell,tool,unknown",error: unknown mcp tool 'run_shell',,40,1.00,,0.00,0.00,,
"line,mcp,tool",linear mcp tools,,40,"0.00,0.23,0.11,0.23,0.41,0.11,1.00,0.11,0.11,0.11,0.11,0.11",,0.00,0.01,,
"local,mcp,tool",local mcp tools,,40,"0.00,0.00,0.00,0.28,0.50,0.14,1.00,0.14,0.78,0.14,0.00,0.14",,0.00,0.10,,
"client,mcp,tool",mcp client tools,,40,"0.11,0.11,0.11,0.11,0.23,1.00,0.11,0.11,0.11,0.11,0.11,0.11",,0.00,0.21,,
"list,mcp,protocol,tool",mcp protocol list tools,,40,"0.00,0.18,0.36,0.18,0.18,0.18,1.00,0.63,0.18,0.18,1.00,0.18",,4.10,0.21,,
"mcp,server,tool",mcp server and tools,,40,"0.00,0.00,0.36,0.63,0.36,0.18,0.81,1.00,0.18,0.81,0.36,0.18",,4.20,0.46,,
"get,mcp,server,tool",mcp server get tools,,40,"1.00,0.28,0.64,0.14,0.14,0.14,0.14,0.14,0.14,0.00,0.14,0.14",,0.00,0.10,,
"list,mcp,server,tool",mcp server list tools,Informational,40,"0.50,0.14,0.14,0.14,1.00,1.00,0.14,0.14,0.14,0.14,0.14,0.14",50,2.94,0.14,"Sitelinks, AI Overview, Video, Video carousel, Related searches",117
"incident,management,mcp,name,opsgenie,pagerduty,server,tool",mcp server pagerduty opsgenie incident management tool names,,40,1.00,,0.00,0.00,,
"mcp,resources,server,tool,vs",mcp server resources vs tools,,40,"0.00,0.28,0.14,0.14,1.00,0.14,0.28,0.14,0.14,0.14,0.50,0.14",,0.00,0.01,,
"mcp,server,tool",mcp server tool,"Informational, Transactional",40,"0.63,0.27,0.18,0.63,0.09,1.00,0.00,0.00,0.00,1.00,0.00,0.00",54,5.71,0.30,"Sitelinks, Video, People also ask, Discussions and forums, Related searches, Ads top, Ads middle",128
"example,mcp,tool",mcp tool example,,40,"1.00,0.14,0.14,0.50,0.14,0.14,0.14,0.28,0.14,0.14,0.14,0.14",,0.00,0.02,,
"mcp,poison,tool",mcp tool poisoning,,40,"0.28,0.35,0.35,0.35,0.14,0.14,0.21,0.14,0.21,0.14,0.14,1.00",,11.23,0.11,,
"example,mcp,tool",mcp tools example,,40,"0.36,1.00,0.18,0.18,0.18,0.18,0.81,0.81,0.18,0.18,0.18,0.18",,0.00,0.10,,
"library,mcp,tool",mcp tools library,,40,"0.14,0.14,0.14,0.28,0.14,0.14,1.00,0.28,0.14,0.14,0.28,0.14",,0.00,0.32,,
"marketplace,mcp,tool",mcp tools marketplace,,40,"1.00,0.14,0.28,0.14,0.50,0.14,0.14,0.14,0.14,0.14,0.14,0.14",,0.00,0.21,,
"mcp,meaning,tool",mcp tools meaning,,40,"0.22,0.77,0.44,1.00,0.22,0.44,0.77,0.22,0.22,0.22,0.22,0.22",,0.00,0.02,,
"catalog,list,mcp,run,server,tool",mcp.run mcp server catalog tools list,,40,1.00,,0.00,0.00,,
"mcp,ref,tool",ref.tools mcp,Navigational,40,"0.00,0.19,0.04,1.00,0.19,0.04,0.09,0.66,0.09,0.09,0.09,0.09",,0.00,0.33,"Sitelinks, Reviews, Video, Related searches",162
"mcp,resources,tool,vs",resources vs tools mcp,,40,"0.28,1.00,0.14,0.14,0.28,0.14,0.14,0.64,0.14,0.14,0.14,0.14",,0.00,0.05,,
"mcp,tool",what is mcp tool,,40,"0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,1.00",,0.68,0.07,,
"mcp,observation,tool",which observability tools have an mcp,Informational,40,"1.00,0.40,0.20,0.00,0.00,0.00",3,0.00,0.00,"AI Overview, Video, Discussions and forums, Related searches",12100000
"adk,mcp,tool",adk mcp tool,,30,"0.22,0.22,1.00,0.44,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22",,0.00,0.29,,
"ai,mcp,tool",ai mcp tools,Informational,30,"1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",72,5.67,0.51,"Sitelinks, AI Overview, Video, People also ask, Related searches",118
"ai,mcp,tool",ai tools mcp,,30,"0.22,1.00,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22",,3.88,0.28,,
"2026,alphaxiv,api,capabilities,document,mcp,server,tool",alphaxiv mcp server tools capabilities api documentation 2026,,30,1.00,,0.00,0.00,,
"agent,anthropic,mcp,pattern,sdk,tool,typescript",anthropic agent sdk mcp tool patterns typescript,,30,1.00,,0.00,0.00,,
"anthropic,claude,mcp,tool,use,vs",anthropic claude tool use vs mcp,,30,1.00,,0.00,0.00,,
"anthropic,mcp,tool",anthropic mcp tool,,30,"0.00,0.00,0.18,0.18,0.18,0.18,0.81,0.18,0.18,0.36,1.00,0.18",,0.00,0.19,,
"best,mcp,tool",best mcp tools,"Informational, Commercial",30,"1.00,1.00,0.28,0.42,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28",40,4.70,0.34,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches, Ads middle",181
"browser,mcp,tool,使用",browser tools mcp 使用,,30,"1.00,0.57,0.57,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28",,0.00,0.33,,
"chrome,development,mcp,tool",chrome developer tools mcp,,30,"0.00,0.00,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",,0.00,0.03,,
"chrome,mcp,tool",chrome tools mcp,,30,"0.00,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",,0.00,0.01,,
"crewai,mcp,tool",crewai mcp tools,,30,"0.57,0.28,1.00,0.28,0.57,0.57,0.28,0.28,0.28,0.28,0.28,0.28",,0.00,0.14,,
"cursor,limited,mcp,tool",cursor mcp tools limit,,30,"0.14,0.28,0.14,1.00,0.14,0.14,0.14,0.28,0.14,0.14,0.14,0.14",,0.00,0.07,,
"docker,mcp,tool",docker mcp tools,,30,"0.11,0.22,1.00,0.11,0.55,0.22,0.22,0.22,0.22,0.22,0.22,0.22",,0.00,0.02,,
"free,mcp,tool",free mcp tools,Informational,30,"0.14,1.00,0.28,0.28,0.14,0.64,0.14,0.14,0.14,0.14,0.14,0.14",42,3.84,0.71,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches",122
"cursor,mcp,tool,use",how to use mcp tools in cursor,,30,"0.00,0.22,1.00,0.22,0.22,0.22,1.00,0.44,0.22,0.22,0.22,0.22",,0.00,0.33,,
"langchain,mcp,tool",langchain mcp tools,,30,"1.00,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22",,0.00,0.01,,
"list,mcp,tool",list mcp tools,,30,"0.00,0.33,0.22,0.22,0.11,0.33,0.11,0.11,0.77,1.00,0.11,0.22",,0.00,0.07,,
"index,llama,mcp,tool",llama index tools mcp,,30,"0.22,1.00,0.44,0.77,0.22,0.44,0.22,0.00,0.00,0.00,0.00,0.22",,0.00,0.33,,
"cli,mcp,tool",mcp cli tool,,30,"0.78,0.22,0.78,0.22,0.22,0.22,0.22,1.00,0.22,0.22,0.22,0.22",,0.00,0.33,,
"dev,mcp,tool",mcp dev tools,,30,"0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.11,0.11",,9.73,0.15,,
"difference,mcp,resources,tool",mcp difference between tool and resource,,30,"0.00,0.00,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.00,0.14",,0.00,0.33,,
"disable,mcp,tool",mcp disable tools,,30,"0.00,0.00,0.23,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11",,0.00,0.33,,
"comparison,gateway,mcp,security,tool",mcp gateway security tools comparison,,30,1.00,,0.00,0.00,,
"endpoint,list,mcp,tool",mcp list tools endpoint,,30,"0.00,0.00,1.00,0.18,0.18,0.18,0.63,0.18,0.18,0.18,0.18,0.18",,10.16,0.37,,
"mcp,prompt,resources,tool,vs",mcp resources vs tools vs prompts,,30,"0.00,0.00,0.18,0.36,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18",,0.00,0.01,,
"attack,mcp,notification,poison,security,tool",mcp security notification tool poisoning attacks,,30,"0.28,1.00,0.57,0.57,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28",,0.00,0.11,,
"content,convert,fetch,html,mcp,name,server,tool,url,web",mcp server fetch web content tool names fetch_url convert_html,,30,1.00,,0.00,0.00,,
"list,mcp,server,tool",mcp server tools list,,30,"0.11,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11",,2.99,0.33,,
"call,mcp,server,tool,vs",mcp server vs tool calling,,30,"0.44,1.00,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22",,0.00,0.08,,
"call,mcp,tool",mcp tool calling,,30,"0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,1.00,0.71",,6.09,0.04,,
"definition,mcp,tool",mcp tool definition,,30,"0.07,0.07,1.00,0.07,0.07,0.07,0.07,0.14,0.14,0.14,0.14,0.28",,0.00,0.02,,
"langchain,mcp,tool",mcp tool langchain,,30,"0.23,1.00,0.11,0.11,0.11,0.11,0.00,0.11,0.11,0.00,0.11,0.00",,0.00,0.00,,
"mcp,meaning,tool",mcp tool meaning,,30,"0.14,0.14,0.14,0.14,0.14,0.14,0.50,1.00,0.28,0.14,0.14,0.00",,0.00,0.02,,
"mcp,registry,tool",mcp tool registry,,30,"0.71,0.71,0.71,0.28,0.42,1.00,0.28,0.00,0.00,0.00,0.28,0.14",,9.95,0.08,,
"mcp,specifications,tool",mcp tool specification,,30,"0.00,0.00,1.00,0.77,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22",,0.00,0.48,,
"2025,2026,agent,ai,mcp,tool",mcp tools ai agents 2025 2026,,30,1.00,,0.00,0.00,,
"agent,mcp,tool,vs",mcp vs agent tools,,30,"0.00,0.18,1.00,0.18,0.63,0.18,0.18,0.18,0.63,0.36,0.18,0.18",,0.00,0.33,,
"langchain,mcp,tool,vs",mcp vs langchain tools,,30,"0.44,0.44,0.22,1.00,0.44,0.22,0.22,0.44,0.22,0.22,0.22,0.22",,0.00,0.33,,
"agent,ai,mcp,tool,vs",mcp vs tools ai agents,,30,"0.80,1.00,0.00",,0.00,0.00,,
"mcp,search,tool,web",mcp web search tool,,30,"0.36,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,0.00,0.04,,
"mcp,mongodb,tool",mongodb mcp tools,,30,"0.00,0.00,0.00,0.00,0.18,0.18,1.00,0.81,0.18,0.18,0.18,0.18",,0.00,0.08,,
"mcp,n8n,tool",n8n mcp tools,,30,"0.75,0.50,0.50,1.00,0.50,0.50,0.50,0.50,1.00,0.50,0.50,0.50",,4.58,0.21,,
"mcp,notion,tool",notion mcp tools,,30,"0.18,0.18,1.00,0.18,0.63,0.18,0.18,0.18,0.18,0.36,0.18,0.18",,0.00,0.04,,
"mcp,obsidian,tool",obsidian mcp tool,,30,"0.11,0.11,0.33,0.11,0.11,0.77,0.11,0.11,0.55,1.00,0.77,0.00",,0.00,0.02,,
"mcp,ollama,tool",ollama mcp tools,,30,"1.00,0.22,0.22,0.22,0.44,0.22,0.22,0.22,0.22,0.22,0.22,0.22",,0.00,0.33,,
"mcp,open,source,tool",open source mcp tools,,30,"0.11,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11",,0.00,0.12,,
"mcp,open,tool,webui",open webui mcp tools,,30,"0.00,0.44,0.22,0.22,0.22,1.00,0.22,0.22,0.22,0.22,0.22,0.22",,0.00,0.33,,
"mcp,openai,tool",openai mcp tools,,30,"1.00,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22",,0.00,0.04,,
"chrome,dev,mcp,playwright,tool,vs",playwright mcp vs chrome dev tools mcp,,30,"0.00,0.00,0.00,0.00,0.00,0.19,0.33,0.04,0.04,0.04,1.00,0.09",,0.00,0.01,,
"mcp,ref,tool",ref tools mcp,,30,"0.00,0.09,0.09,1.00,0.09,0.09,0.09,0.14,0.09,0.09,0.09,0.00",,0.00,0.01,,
