Groups,Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
"mcp,pythonastrepltool,server",mcp server pythonastrepltool,Informational,170,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",23,0.00,0.00,"AI Overview, Video, Video carousel, Related searches",465
"mcp,servers",mcp servers what is it,Informational,40,"0.18,0.27,1.00,1.00,0.36,1.00,0.00,0.27,0.18,0.18,0.18,0.18",56,0.37,0.11,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",198
"mcp,service",mcp service,Informational,140,"1.00,0.15,0.43,0.43,0.28,0.81,0.21,0.34,0.21,0.43,0.53,0.43",81,1.78,0.02,"AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom",124
"downloads,images,mcp",mcp-image-downloader,Informational,260,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",6,0.00,0.00,"Sitelinks, Video, Related searches",102
"mcp,server",mcp.server,Informational,70,"0.06,0.06,0.00,0.53,0.00,0.34,0.00,1.00,0.06,0.00,0.03,0.00",68,1.60,0.11,"Sitelinks, AI Overview, Video, People also ask, Things to know",60200000
mcphost,mcphost,Informational,140,"0.23,0.15,1.00,0.28,0.08,0.23,0.28,0.01,0.03,0.05,0.15,0.03",24,1.76,0.28,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches",73800
"mct,tech",mct tech,Informational,90,"0.64,0.78,0.35,0.64,0.64,1.00,0.35,0.50,0.64,0.50,0.78,0.50",38,0.00,0.01,"Sitelinks, Video, Video carousel, People also ask, Related searches",10600000
"antropic,meth",methos antropic,Informational,1900,1.00,,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",108
"context,diagram,model,protocol",model context protocol diagram,Informational,90,"1.00,1.00,0.64,0.64,0.64,0.64,0.23,0.23,0.11,0.17,0.11,0.11",43,0.00,0.03,"Sitelinks, AI Overview, Image, Video, Related searches, Ads bottom, Ads middle",133
"context,json,model,protocol,rpc",model context protocol json-rpc,Informational,170,"0.06,0.06,1.00,0.66,1.00,0.11,0.18,0.23,0.00,0.00,0.00,0.00",29,0.00,0.33,"AI Overview, Video, Discussions and forums, Related searches",133
"2024,context,mcp,model,protocol,specifications",model context protocol mcp specification 2024,Informational,40,"0.60,1.00,0.60,0.80,0.20,0.00,0.00",60,0.00,0.00,"Featured snippet, Image, Video, Video carousel, Related searches",1230000
"context,model,protocol,sdk",model context protocol sdk,Navigational,50,"0.33,0.23,1.00,0.42,0.00,0.33,0.14,0.19,0.00,0.00,0.00,0.09",69,0.00,0.04,"Sitelinks, Video, Video carousel, Related searches",131
"context,list,model,protocol,servers",model context protocol servers list,Informational,40,"0.18,0.18,0.18,1.00,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.45",70,0.00,0.33,"Sitelinks, Video, Discussions and forums, Related searches",131
"context,model,protocol,specs",model context protocol spec,Informational,210,"0.82,0.82,0.82,0.82,1.00,0.28,0.12,0.05,0.05,0.05,0.05,0.05",70,0.00,0.10,"Sitelinks, Video, People also ask, Discussions and forums, Related searches",136
"code,context,extension,model,protocol,vs",model context protocol vs code extension,Commercial,170,"1.00,0.00,0.81,0.23,0.23,0.00,0.00,0.18,0.00",25,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches",108
"github,modelcontextprotocol",modelcontextprotocol github,Navigational,170,"0.22,0.10,1.00,0.66,0.29,0.43,0.35,0.22,0.22,0.22,0.00,0.08",72,0.00,0.01,"Sitelinks, Video, Video carousel, Related searches",108
"modelcontextprotocol,servers",modelcontextprotocol servers,Navigational,70,"0.34,0.53,0.06,1.00,0.06,0.00,0.12,0.00,0.09,0.34,0.12,0.15",100,2.43,0.14,"Sitelinks, Video, Related searches",132
"mpc,server",mpc server,Informational,720,"0.55,0.45,0.45,0.45,0.45,0.36,0.24,0.24,1.00,1.00,0.76,0.36",97,2.87,0.20,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",193
"mcp,official,server",official mcp server,Informational,50,"0.14,0.35,0.78,0.78,0.64,1.00,0.35,0.35,0.21,0.14,0.50,0.35",63,2.40,0.12,"Sitelinks, Video, Related searches",60100000
"mcp,official,servers",official mcp servers,Informational,110,"0.43,0.22,0.18,0.14,0.14,1.00,0.00,0.10,0.10,0.22,0.10,0.08",62,2.40,0.12,"Sitelinks, Video, Related searches, Ads bottom",53700000
"context,official,website",official website for #context#,Informational,70,"0.06,1.00,0.00,0.00,0.00",77,0.00,0.00,"AI Overview, Video, People also ask, Related searches",793000000
"mcp,open,source",open source mcp,Informational,70,"0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,1.00",74,6.77,0.16,"Sitelinks, Video, Video carousel, Related searches",129
"mcp,open,server,source",open source mcp server,Informational,320,"0.02,0.37,1.00,0.02,0.16,0.13,0.03,0.02,0.01,0.13,0.03,0.04",82,3.00,0.17,"Sitelinks, AI Overview, Video, Related searches",129
"context,model,openai,protocol",openai model context protocol,Informational,140,"0.28,0.81,1.00,0.03,0.18,0.03,0.03,0.03,0.03,0.03,0.03,0.03",48,0.00,0.33,"Sitelinks, AI Overview, Video, Discussions and forums, Related searches",131
"mcp,oss",oss mcp,Informational,40,"0.14,0.14,0.64,0.14,0.64,0.14,1.00,0.14,0.14,0.14,0.14,0.14",76,0.00,0.04,"Sitelinks, AI Overview, Video, Video carousel, Related searches",131
"mcp,quip",quip mcp,Informational,390,"0.54,0.20,0.07,1.00,0.07,0.00,0.00,0.00,0.00,0.00,0.04,0.04",17,0.00,0.01,"Sitelinks, Reviews, Video, Related searches",106
"mcp,server",server mcp,Informational,50,"0.00,0.00,0.00,0.00,0.19,0.19,0.80,1.00,0.00,0.07,0.00,0.00",53,1.60,0.11,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom",128
"json,mcp,vscode",vscode mcp json,Informational,70,"0.52,0.52,0.52,0.52,1.00,0.33,0.09,0.23,0.33,0.09,0.52,0.23",36,0.00,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches",109
"mcp,server,vscode",vscode mcp server,Informational,390,"0.67,0.83,1.00,0.83,0.83,0.67,0.44,0.28,0.44,0.28,0.36,0.28",58,0.00,0.01,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches",105
"mcp,servers,vscode",vscode mcp servers,"Informational, Commercial",260,"0.12,0.12,0.54,0.44,0.36,0.44,0.44,0.36,1.00,0.36,0.44,0.29",50,12.15,0.02,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Related searches",91
"ai,mcp,stand",what does mcp stand for ai,Informational,40,"0.14,0.09,1.00,0.52,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09",67,0.00,0.01,"AI Overview, Video, Short videos, People also ask, Related searches",57100000
"mcp,server",what is a mcp server,Informational,1600,"0.20,0.44,0.44,0.44,0.44,0.52,0.36,0.36,0.44,0.66,0.80,1.00",50,0.97,0.20,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches, Ads bottom",192
"mcp,server",what is an mcp server,Informational,5400,"0.29,0.36,0.44,0.44,0.44,0.54,0.44,0.36,0.54,0.66,1.00,1.00",46,0.80,0.18,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",181
"mcp,servers",what is an mcp servers,Informational,110,"0.02,0.03,0.03,0.03,0.03,0.00,0.00,0.00,0.00,1.00,0.00,0.00",55,0.80,0.18,"AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",187
"mpc,server",what is an mpc server,Informational,170,"0.34,0.43,1.00,0.53,0.53,0.65,0.53,0.34,0.34,0.53,0.81,0.81",69,0.35,0.08,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",200
"mcp,server",what is mcp server,Informational,4400,"0.35,0.54,0.54,0.66,0.54,0.54,0.44,0.44,0.54,0.66,1.00,1.00",51,1.00,0.19,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches",125
"mcp,server",what mcp server,Informational,90,"0.05,0.43,0.12,0.28,0.05,0.10,0.05,0.05,0.23,0.17,1.00,0.35",47,0.84,0.22,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",129
"2,mcp",2 mcp,Informational,70,"1.00,0.18,1.00,0.82,0.82,0.64,0.64,0.64,0.64,0.64,0.64,0.82",57,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches",131
"697,918",918 697,Informational,40,"0.18,0.18,0.18,0.18,0.63,1.00,0.18,0.00,0.18,0.18,0.18,0.18",4,2.16,0.00,Video,22200000
"abaqus,mcp",abaqus mcp,Informational,50,"1.00,0.11,0.11,0.82,0.11,0.52,0.00,0.11,0.11,0.11,0.11,0.11",1,0.00,0.01,"Image pack, Video, Related searches",145
"add,mcp,server,vscode",add mcp server to vscode,Informational,70,"0.41,0.41,0.82,0.64,0.64,1.00,0.41,0.41,0.64,0.41,1.00,0.52",23,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Discussions and forums, Related searches",144
"affinity,mcp",affine mcp,Informational,390,"0.30,0.13,0.13,0.13,0.13,0.13,0.62,1.00,0.13,0.13,0.13,0.01",,0.00,0.02,"Video, Related searches",95
"agent,context,protocol",agent context protocol,Informational,170,"0.06,0.34,0.53,0.53,0.53,0.53,0.34,0.34,0.43,0.53,1.00,0.81",37,4.32,0.06,"Sitelinks, AI Overview, Video, People also ask, Related searches",148
"agent,mcp",agent mcp,Informational,210,"1.00,0.15,0.81,0.65,0.52,0.43,0.52,0.52,0.00,0.81,0.81,0.33",52,3.42,0.24,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",59800000
"agent,ai,mcp",agentic ai mcp,Informational,170,"0.80,1.00,1.00,1.00,1.00,0.80,0.53,0.34,0.34,0.34,1.00,0.34",38,5.19,0.69,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches",124
"agent,mcp",agentic mcp,Informational,110,"1.00,1.00,1.00,0.82,1.00,0.52,0.64,0.41,0.41,0.41,0.52,0.52",33,5.82,0.33,"AI Overview, Image pack, Video, People also ask, Related searches",123
"agent,mcp",agents mcp,Informational,110,"0.00,1.00,0.34,0.07,0.15,0.07,0.19,0.03,0.65,0.80,0.80,0.65",46,3.09,0.23,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Ads bottom, Ads middle",125
"agent,ai,mcp",ai agent mcp,Informational,170,"0.43,1.00,0.65,0.53,0.53,0.81,0.28,0.21,0.21,0.34,0.21,0.34",54,4.09,0.48,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",127
"agent,ai,mcp",ai agents mcp,"Informational, Commercial",70,"1.00,0.07,0.78,1.00,0.21,0.21,0.14,0.14,0.78,1.00,1.00,0.35",50,4.43,0.34,"AI Overview, Video, People also ask, Discussions and forums, Related searches, Ads middle",107
"ai,mcp",ai mcp,Informational,2400,"1.00,0.80,1.00,0.80,0.66,0.66,0.44,0.27,0.52,0.66,0.80,1.00",68,4.37,0.31,"AI Overview, Reviews, Image pack, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches, Ads bottom, Ads middle",122
"ai,client,mcp",ai mcp client,"Informational, Commercial",40,"1.00,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",46,0.00,0.86,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads top, Ads middle",121
"ai,example,mcp",ai mcp example,Informational,30,"0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11",54,2.63,0.25,"AI Overview, Video, Video carousel, Related searches, Ads bottom",107
"ai,mcp,meaning",ai mcp meaning,Informational,170,"0.04,0.35,0.35,0.35,0.35,0.43,0.35,0.43,0.43,0.54,1.00,1.00",63,1.19,0.17,"AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",125
"ai,mcp,protocol",ai mcp protocol,Informational,90,"0.52,1.00,0.80,0.52,0.52,0.33,0.09,0.09,0.23,0.19,0.19,0.09",78,5.11,0.49,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",153
"ai,mcp,server",ai mcp server,Informational,390,"1.00,1.00,1.00,0.81,0.81,1.00,0.66,0.43,0.81,1.00,0.66,0.81",63,3.93,0.42,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches",120
"ai,mpc",ai mpc,Informational,110,"0.53,1.00,0.43,0.28,0.03,0.28,0.03,0.15,0.12,0.34,0.15,0.21",71,5.34,0.02,"AI Overview, Video, Video carousel, People also ask, Related searches",123
"ai,sdk,tool",ai-sdk-tools,"Informational, Transactional",210,"0.15,0.15,0.23,0.23,0.54,1.00,0.00,0.05,0.19,0.07,0.12,0.05",40,6.95,0.08,"Sitelinks, Video, Video carousel, Discussions and forums, Related searches",80600000
"anki,best,buy,remote",anki remote best buy,Commercial,30,"0.44,1.00,1.00,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22",28,0.57,0.10,"Sitelinks, Image, Video, People also ask, Related searches",213000
"antd,mcp",antd mcp,Informational,90,"0.21,1.00,0.34,0.21,0.21,0.53,0.21,0.21,0.21,0.06,0.06,0.06",18,0.00,0.33,"Sitelinks, Video, Related searches",85
